Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:17:27 2022
Short Description: KEXT_MAX/Fice_min for depth 9.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 90.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:90.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.967,0.033,0.000
400.000,0.968,0.032,0.000
420.000,0.967,0.033,0.000
440.000,0.967,0.033,0.000
460.000,0.967,0.033,0.000
480.000,0.966,0.033,0.001
500.000,0.967,0.032,0.001
520.000,0.965,0.033,0.002
540.000,0.968,0.029,0.003
560.000,0.965,0.031,0.004
580.000,0.963,0.031,0.005
600.000,0.960,0.032,0.007
620.000,0.960,0.029,0.011
640.000,0.957,0.029,0.014
660.000,0.955,0.027,0.018
680.000,0.952,0.026,0.022
700.000,0.947,0.025,0.028
720.000,0.943,0.022,0.036
740.000,0.940,0.019,0.041
760.000,0.929,0.016,0.054
780.000,0.922,0.012,0.066
800.000,0.910,0.010,0.080
820.000,0.908,0.010,0.082
840.000,0.905,0.010,0.085
860.000,0.891,0.007,0.102
880.000,0.865,0.004,0.131
900.000,0.855,0.002,0.143
920.000,0.850,0.002,0.148
940.000,0.841,0.002,0.158
960.000,0.816,0.001,0.184
980.000,0.786,0.000,0.215
1000.000,0.752,0.000,0.249
1020.000,0.718,0.000,0.283
1040.000,0.717,0.000,0.284
1060.000,0.736,0.000,0.265
1080.000,0.751,0.000,0.250
1100.000,0.759,0.000,0.241
1120.000,0.754,0.000,0.247
1140.000,0.731,0.000,0.269
1160.000,0.699,0.000,0.302
1180.000,0.643,0.000,0.358
1200.000,0.600,0.000,0.401
1220.000,0.540,0.000,0.462
1240.000,0.515,0.000,0.487
1260.000,0.506,0.000,0.496
1280.000,0.507,0.000,0.495
1300.000,0.513,0.000,0.489
1320.000,0.509,0.000,0.493
1340.000,0.515,0.000,0.487
1360.000,0.500,0.000,0.502
1380.000,0.489,0.000,0.513
1400.000,0.458,0.000,0.544
1420.000,0.292,0.000,0.711
1440.000,0.182,0.000,0.822
1460.000,0.119,0.000,0.884
1480.000,0.085,0.000,0.918
1500.000,0.082,0.000,0.922
1520.000,0.084,0.000,0.920
1540.000,0.093,0.000,0.911
1560.000,0.103,0.000,0.900
1580.000,0.118,0.000,0.886
1600.000,0.128,0.000,0.876
