Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:11:09 2022
Short Description: KEXT_MAX/Fice_min for depth 7.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 70.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:70.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.962,0.038,0.000
400.000,0.957,0.043,0.000
420.000,0.959,0.041,0.000
440.000,0.957,0.043,0.000
460.000,0.958,0.041,0.000
480.000,0.958,0.042,0.000
500.000,0.959,0.041,0.001
520.000,0.956,0.042,0.001
540.000,0.957,0.041,0.002
560.000,0.958,0.039,0.003
580.000,0.955,0.040,0.004
600.000,0.955,0.039,0.006
620.000,0.952,0.040,0.008
640.000,0.951,0.038,0.011
660.000,0.950,0.035,0.015
680.000,0.948,0.035,0.018
700.000,0.944,0.033,0.022
720.000,0.941,0.030,0.029
740.000,0.935,0.030,0.035
760.000,0.926,0.027,0.047
780.000,0.918,0.022,0.060
800.000,0.906,0.020,0.074
820.000,0.906,0.020,0.074
840.000,0.906,0.018,0.076
860.000,0.888,0.015,0.097
880.000,0.868,0.009,0.124
900.000,0.857,0.007,0.136
920.000,0.846,0.006,0.148
940.000,0.841,0.005,0.155
960.000,0.820,0.003,0.177
980.000,0.785,0.001,0.214
1000.000,0.748,0.000,0.252
1020.000,0.718,0.000,0.282
1040.000,0.713,0.000,0.288
1060.000,0.733,0.000,0.268
1080.000,0.752,0.001,0.248
1100.000,0.758,0.000,0.242
1120.000,0.750,0.001,0.250
1140.000,0.733,0.000,0.267
1160.000,0.700,0.000,0.301
1180.000,0.643,0.000,0.358
1200.000,0.600,0.000,0.401
1220.000,0.542,0.000,0.460
1240.000,0.516,0.000,0.485
1260.000,0.505,0.000,0.497
1280.000,0.508,0.000,0.494
1300.000,0.510,0.000,0.492
1320.000,0.513,0.000,0.489
1340.000,0.512,0.000,0.490
1360.000,0.508,0.000,0.494
1380.000,0.493,0.000,0.509
1400.000,0.457,0.000,0.545
1420.000,0.289,0.000,0.714
1440.000,0.177,0.000,0.826
1460.000,0.121,0.000,0.883
1480.000,0.083,0.000,0.920
1500.000,0.082,0.000,0.921
1520.000,0.083,0.000,0.920
1540.000,0.092,0.000,0.911
1560.000,0.105,0.000,0.899
1580.000,0.115,0.000,0.888
1600.000,0.131,0.000,0.873
