Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:44:33 2022
Short Description: KEXT_MAX/Fice_min for depth 16.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 160.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:160.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.981,0.019,0.000
400.000,0.982,0.018,0.000
420.000,0.981,0.019,0.000
440.000,0.981,0.018,0.000
460.000,0.981,0.019,0.000
480.000,0.981,0.018,0.001
500.000,0.980,0.019,0.002
520.000,0.980,0.017,0.003
540.000,0.978,0.017,0.005
560.000,0.977,0.016,0.007
580.000,0.976,0.015,0.009
600.000,0.973,0.015,0.012
620.000,0.970,0.014,0.016
640.000,0.967,0.011,0.022
660.000,0.962,0.010,0.028
680.000,0.960,0.009,0.031
700.000,0.953,0.007,0.040
720.000,0.943,0.006,0.051
740.000,0.940,0.005,0.055
760.000,0.931,0.003,0.065
780.000,0.917,0.002,0.081
800.000,0.911,0.001,0.088
820.000,0.905,0.001,0.094
840.000,0.906,0.001,0.093
860.000,0.892,0.000,0.107
880.000,0.868,0.000,0.132
900.000,0.850,0.000,0.151
920.000,0.849,0.000,0.151
940.000,0.839,0.000,0.161
960.000,0.817,0.000,0.183
980.000,0.785,0.000,0.215
1000.000,0.755,0.000,0.246
1020.000,0.714,0.000,0.286
1040.000,0.716,0.000,0.285
1060.000,0.733,0.000,0.268
1080.000,0.750,0.000,0.251
1100.000,0.756,0.000,0.244
1120.000,0.749,0.000,0.252
1140.000,0.727,0.000,0.274
1160.000,0.695,0.000,0.306
1180.000,0.641,0.000,0.360
1200.000,0.597,0.000,0.404
1220.000,0.540,0.000,0.462
1240.000,0.513,0.000,0.489
1260.000,0.503,0.000,0.499
1280.000,0.506,0.000,0.496
1300.000,0.509,0.000,0.493
1320.000,0.515,0.000,0.487
1340.000,0.513,0.000,0.488
1360.000,0.501,0.000,0.501
1380.000,0.490,0.000,0.512
1400.000,0.458,0.000,0.544
1420.000,0.291,0.000,0.712
1440.000,0.180,0.000,0.824
1460.000,0.117,0.000,0.886
1480.000,0.084,0.000,0.919
1500.000,0.082,0.000,0.921
1520.000,0.084,0.000,0.919
1540.000,0.093,0.000,0.911
1560.000,0.102,0.000,0.902
1580.000,0.117,0.000,0.887
1600.000,0.132,0.000,0.871
