Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:48:40 2022
Short Description: KEXT_MIN/Fice_mean for depth 20.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 200.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:200.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.950,0.050,0.000
400.000,0.949,0.051,0.000
420.000,0.952,0.047,0.000
440.000,0.952,0.048,0.000
460.000,0.950,0.049,0.001
480.000,0.950,0.048,0.002
500.000,0.948,0.049,0.003
520.000,0.949,0.045,0.005
540.000,0.944,0.047,0.008
560.000,0.942,0.045,0.013
580.000,0.936,0.046,0.018
600.000,0.938,0.040,0.022
620.000,0.933,0.036,0.031
640.000,0.924,0.034,0.041
660.000,0.916,0.031,0.053
680.000,0.913,0.028,0.059
700.000,0.898,0.025,0.077
720.000,0.888,0.019,0.093
740.000,0.877,0.017,0.106
760.000,0.856,0.013,0.131
780.000,0.834,0.008,0.159
800.000,0.814,0.005,0.181
820.000,0.810,0.005,0.185
840.000,0.806,0.005,0.189
860.000,0.781,0.002,0.217
880.000,0.735,0.001,0.265
900.000,0.716,0.000,0.285
920.000,0.700,0.000,0.301
940.000,0.688,0.000,0.312
960.000,0.648,0.000,0.354
980.000,0.598,0.000,0.404
1000.000,0.545,0.000,0.456
1020.000,0.499,0.000,0.503
1040.000,0.496,0.000,0.506
1060.000,0.526,0.000,0.475
1080.000,0.546,0.000,0.456
1100.000,0.550,0.000,0.452
1120.000,0.544,0.000,0.458
1140.000,0.515,0.000,0.486
1160.000,0.474,0.000,0.528
1180.000,0.403,0.000,0.600
1200.000,0.359,0.000,0.644
1220.000,0.298,0.000,0.706
1240.000,0.276,0.000,0.728
1260.000,0.263,0.000,0.740
1280.000,0.266,0.000,0.738
1300.000,0.271,0.000,0.732
1320.000,0.271,0.000,0.732
1340.000,0.274,0.000,0.729
1360.000,0.264,0.000,0.739
1380.000,0.253,0.000,0.751
1400.000,0.227,0.000,0.776
1420.000,0.117,0.000,0.887
1440.000,0.062,0.000,0.941
1460.000,0.037,0.000,0.965
1480.000,0.023,0.000,0.978
1500.000,0.023,0.000,0.978
1520.000,0.024,0.000,0.977
1540.000,0.026,0.000,0.975
1560.000,0.034,0.000,0.968
1580.000,0.037,0.000,0.965
1600.000,0.041,0.000,0.961
