Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:19:45 2022
Short Description: KEXT_MIN/Fice_mean for depth 9.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 90.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:90.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.902,0.098,0.000
400.000,0.900,0.099,0.000
420.000,0.901,0.099,0.000
440.000,0.900,0.100,0.000
460.000,0.903,0.097,0.000
480.000,0.901,0.099,0.001
500.000,0.900,0.099,0.001
520.000,0.901,0.096,0.002
540.000,0.896,0.100,0.004
560.000,0.899,0.095,0.006
580.000,0.896,0.096,0.008
600.000,0.897,0.093,0.011
620.000,0.893,0.092,0.015
640.000,0.886,0.093,0.021
660.000,0.885,0.087,0.027
680.000,0.882,0.085,0.033
700.000,0.874,0.082,0.044
720.000,0.866,0.078,0.056
740.000,0.861,0.074,0.065
760.000,0.846,0.066,0.088
780.000,0.826,0.059,0.115
800.000,0.807,0.053,0.140
820.000,0.810,0.049,0.140
840.000,0.808,0.048,0.144
860.000,0.781,0.039,0.180
880.000,0.733,0.027,0.240
900.000,0.716,0.021,0.264
920.000,0.704,0.019,0.277
940.000,0.695,0.015,0.290
960.000,0.654,0.009,0.338
980.000,0.603,0.004,0.393
1000.000,0.551,0.002,0.449
1020.000,0.506,0.001,0.494
1040.000,0.505,0.001,0.496
1060.000,0.536,0.001,0.464
1080.000,0.556,0.002,0.443
1100.000,0.563,0.002,0.436
1120.000,0.555,0.002,0.444
1140.000,0.527,0.001,0.473
1160.000,0.483,0.000,0.518
1180.000,0.409,0.000,0.593
1200.000,0.367,0.000,0.636
1220.000,0.303,0.000,0.700
1240.000,0.279,0.000,0.724
1260.000,0.271,0.000,0.733
1280.000,0.274,0.000,0.729
1300.000,0.276,0.000,0.727
1320.000,0.280,0.000,0.723
1340.000,0.278,0.000,0.725
1360.000,0.268,0.000,0.735
1380.000,0.260,0.000,0.743
1400.000,0.229,0.000,0.774
1420.000,0.118,0.000,0.886
1440.000,0.063,0.000,0.940
1460.000,0.040,0.000,0.962
1480.000,0.025,0.000,0.976
1500.000,0.024,0.000,0.977
1520.000,0.026,0.000,0.975
1540.000,0.026,0.000,0.975
1560.000,0.033,0.000,0.969
1580.000,0.037,0.000,0.965
1600.000,0.042,0.000,0.960
