Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:30:54 2022
Short Description: KEXT_MIN/Fice_mean for depth 13.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 130.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:130.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.929,0.070,0.000
400.000,0.930,0.070,0.000
420.000,0.931,0.069,0.000
440.000,0.927,0.072,0.000
460.000,0.934,0.065,0.001
480.000,0.927,0.072,0.001
500.000,0.929,0.069,0.002
520.000,0.929,0.068,0.003
540.000,0.927,0.067,0.006
560.000,0.927,0.065,0.008
580.000,0.927,0.062,0.011
600.000,0.918,0.066,0.016
620.000,0.913,0.065,0.022
640.000,0.910,0.061,0.029
660.000,0.905,0.058,0.037
680.000,0.902,0.053,0.044
700.000,0.890,0.051,0.059
720.000,0.880,0.046,0.074
740.000,0.870,0.043,0.086
760.000,0.856,0.035,0.110
780.000,0.832,0.028,0.140
800.000,0.813,0.022,0.164
820.000,0.810,0.021,0.169
840.000,0.812,0.021,0.168
860.000,0.782,0.015,0.203
880.000,0.738,0.008,0.254
900.000,0.718,0.006,0.277
920.000,0.706,0.004,0.290
940.000,0.690,0.003,0.307
960.000,0.655,0.001,0.344
980.000,0.606,0.001,0.394
1000.000,0.549,0.000,0.452
1020.000,0.506,0.000,0.496
1040.000,0.506,0.000,0.495
1060.000,0.535,0.000,0.466
1080.000,0.551,0.000,0.451
1100.000,0.555,0.000,0.446
1120.000,0.548,0.000,0.454
1140.000,0.519,0.000,0.483
1160.000,0.482,0.000,0.520
1180.000,0.409,0.000,0.593
1200.000,0.361,0.000,0.642
1220.000,0.299,0.000,0.704
1240.000,0.276,0.000,0.727
1260.000,0.268,0.000,0.735
1280.000,0.270,0.000,0.734
1300.000,0.269,0.000,0.735
1320.000,0.274,0.000,0.729
1340.000,0.277,0.000,0.726
1360.000,0.268,0.000,0.736
1380.000,0.256,0.000,0.748
1400.000,0.231,0.000,0.773
1420.000,0.121,0.000,0.883
1440.000,0.062,0.000,0.941
1460.000,0.037,0.000,0.965
1480.000,0.025,0.000,0.977
1500.000,0.024,0.000,0.977
1520.000,0.024,0.000,0.977
1540.000,0.027,0.000,0.974
1560.000,0.031,0.000,0.970
1580.000,0.038,0.000,0.964
1600.000,0.041,0.000,0.961
