Wavelength,0212202100047.asd
350, 2365.79430755481 
351, 2486.30150555535 
352, 2597.60572771899 
353, 2688.70220155964 
354, 2780.10609099822 
355, 2877.29684270234 
356, 2979.61045105947 
357, 3081.68126098414 
358, 3186.23825276144 
359, 3297.22815261007 
360, 3421.07634020258 
361, 3572.70652158314 
362, 3745.56833338811 
363, 3931.51261569154 
364, 4122.81128196373 
365, 4316.69140211766 
366, 4501.17557704907 
367, 4661.96653014702 
368, 4784.34800310292 
369, 4853.4158242972 
370, 4876.80038898627 
371, 4871.71481226775 
372, 4850.17868140676 
373, 4840.92883381174 
374, 4848.36652186696 
375, 4859.12323317587 
376, 4868.21963880253 
377, 4872.78696643805 
378, 4862.24572845538 
379, 4815.86846164077 
380, 4755.8836318835 
381, 4689.02678926469 
382, 4615.27114730927 
383, 4524.94968757073 
384, 4434.97319776895 
385, 4374.24056809817 
386, 4375.83075772135 
387, 4463.96685137743 
388, 4589.51341148727 
389, 4698.91717024125 
390, 4747.37739076795 
391, 4803.53512172287 
392, 4856.34580890731 
393, 4894.18557345061 
394, 4932.01731532461 
395, 5034.64934619877 
396, 5236.97890700491 
397, 5554.57586849178 
398, 5991.49393564834 
399, 6488.02984371593 
400, 6998.14556081348 
401, 7492.88548251652 
402, 7963.00148132831 
403, 8350.19960733524 
404, 8629.36891028874 
405, 8845.73782112527 
406, 9017.46991929269 
407, 9171.11385328632 
408, 9339.13868391981 
409, 9570.28782243677 
410, 9846.52725333471 
411, 10150.7115033638 
412, 10467.6628712354 
413, 10781.4822376867 
414, 11090.3478846245 
415, 11387.3091664866 
416, 11651.4069488062 
417, 11900.8112419898 
418, 12155.1697196722 
419, 12420.7991157054 
420, 12649.3278255611 
421, 12882.1847116238 
422, 13138.268524795 
423, 13412.5869396916 
424, 13663.2971630258 
425, 13860.3251910271 
426, 13975.3636697129 
427, 13975.6827040405 
428, 13919.6055778062 
429, 13930.8875245697 
430, 14105.0370329364 
431, 14352.2624296462 
432, 14685.0900108734 
433, 15177.6713148824 
434, 15916.3380026896 
435, 16693.0875454063 
436, 17285.6500787943 
437, 17652.0171853723 
438, 18044.1135224716 
439, 18442.2956173148 
440, 18817.4494289045 
441, 19161.8393369478 
442, 19602.2524932842 
443, 20064.5454090768 
444, 20488.5268782146 
445, 20834.7816281672 
446, 21111.9906013511 
447, 21360.9598778925 
448, 21626.0930837728 
449, 21956.2454402501 
450, 22231.0718995164 
451, 22374.3903899589 
452, 22360.7910720873 
453, 22299.5199982437 
454, 22169.8804125813 
455, 22006.8159077156 
456, 21895.1656053565 
457, 21865.1671188357 
458, 21867.7547658412 
459, 21850.4656336128 
460, 21787.9504103633 
461, 21698.8108555125 
462, 21603.2173520401 
463, 21509.232050902 
464, 21360.9675856863 
465, 21136.2464313529 
466, 20861.9771922823 
467, 20611.0771433492 
468, 20398.6296742297 
469, 20239.4978140058 
470, 20140.8596041973 
471, 20104.8373918821 
472, 20078.5786115876 
473, 20068.2880505217 
474, 20096.0288064107 
475, 20083.1261767532 
476, 20057.3952099205 
477, 20044.0391396978 
478, 20052.297210339 
479, 20116.0959913836 
480, 20206.5646977803 
481, 20270.9366988086 
482, 20252.5732444969 
483, 20097.0786884 
484, 19775.2338464331 
485, 19301.0204106572 
486, 18841.7523058724 
487, 18518.0625541293 
488, 18426.002953605 
489, 18646.6847294227 
490, 18986.8374450594 
491, 19262.790963682 
492, 19359.8633290628 
493, 19394.3214133648 
494, 19448.241963965 
495, 19557.4111022917 
496, 19705.7625312691 
497, 19749.1356096691 
498, 19690.3641545903 
499, 19563.2861770654 
500, 19395.5434889071 
501, 19269.7137262566 
502, 19221.0029404448 
503, 19264.8261216781 
504, 19445.3845435005 
505, 19695.6928270744 
506, 19948.0176172506 
507, 20145.485127917 
508, 20295.8896162771 
509, 20414.7346948648 
510, 20526.2195853081 
511, 20676.1660201114 
512, 20778.447872785 
513, 20794.374859005 
514, 20715.6175561275 
515, 20540.3640590093 
516, 20309.0143716963 
517, 20086.4392541133 
518, 19957.3469341963 
519, 20131.1729886905 
520, 20622.2204176039 
521, 21308.451888848 
522, 21874.8925072851 
523, 22297.9594661926 
524, 22595.9826131339 
525, 22814.394088912 
526, 22906.0389343322 
527, 22942.4436286035 
528, 23064.0733456266 
529, 23531.5792500647 
530, 24136.4006215928 
531, 24640.6860926628 
532, 24852.9793783166 
533, 24922.1746842125 
534, 25034.8953183238 
535, 25288.4802831298 
536, 25670.0645085878 
537, 25940.0132847269 
538, 26063.0016717928 
539, 26079.9150750073 
540, 26071.1810903134 
541, 26094.899733211 
542, 26230.6339983295 
543, 26539.8246828695 
544, 26889.3757409371 
545, 27193.0659941674 
546, 27404.6581638662 
547, 27525.7368268211 
548, 27606.7150612595 
549, 27702.3556007038 
550, 27845.9642349757 
551, 27992.7356385107 
552, 28105.8712911129 
553, 28189.0004615674 
554, 28276.6594560704 
555, 28343.709085513 
556, 28317.2847204803 
557, 28158.0430411384 
558, 27897.7308638973 
559, 27677.9202963874 
560, 27580.9575993392 
561, 27634.4606520271 
562, 27762.3216559075 
563, 27835.1062029641 
564, 27791.2920379788 
565, 27655.5091995676 
566, 27460.4465439998 
567, 27262.4235796775 
568, 27096.8136821446 
569, 26928.139540395 
570, 26703.8847636398 
571, 26489.3382587124 
572, 26412.5236114803 
573, 26438.1289242398 
574, 26429.6566754218 
575, 26302.8290658722 
576, 26076.4603128511 
577, 25871.1685333899 
578, 25764.6421449851 
579, 25797.8243114786 
580, 25938.9978436341 
581, 26183.9286011877 
582, 26479.6063598719 
583, 26728.8458740729 
584, 26885.7405221324 
585, 26883.0142447566 
586, 26713.5980887385 
587, 26506.2482698526 
588, 26251.4715532605 
589, 25904.1450166365 
590, 25463.3081859844 
