Wavelength,0212202100126.asd
350, 2752.61975434329 
351, 2895.93807022066 
352, 3030.82878079589 
353, 3142.92116707724 
354, 3251.35176793941 
355, 3366.28684883113 
356, 3490.31940046686 
357, 3611.94165582682 
358, 3736.13830000795 
359, 3868.15279066078 
360, 4015.63059933072 
361, 4196.27535853407 
362, 4402.8047809302 
363, 4625.82052899282 
364, 4855.9845023315 
365, 5086.65591821063 
366, 5307.13417666169 
367, 5502.49711827313 
368, 5652.01906820325 
369, 5741.51328303159 
370, 5774.43578816701 
371, 5766.62300338669 
372, 5743.03396870717 
373, 5734.93921731356 
374, 5746.34457771542 
375, 5761.71473125728 
376, 5778.06544907941 
377, 5788.29910041627 
378, 5778.8872477773 
379, 5728.91446597987 
380, 5663.09971297954 
381, 5586.73707034285 
382, 5499.31407442824 
383, 5396.38238014213 
384, 5289.18635758894 
385, 5213.41787748074 
386, 5214.24299425231 
387, 5320.06223543617 
388, 5475.44936789107 
389, 5613.56037486104 
390, 5672.00648211867 
391, 5736.74009500478 
392, 5802.01289765326 
393, 5854.71167407474 
394, 5896.49735998886 
395, 6017.30890103302 
396, 6257.01684122403 
397, 6630.50029377648 
398, 7156.05610169232 
399, 7755.20959173687 
400, 8369.65053443289 
401, 8965.89659752949 
402, 9534.89865594173 
403, 10004.8153559377 
404, 10344.0132544801 
405, 10607.3305808889 
406, 10816.402160155 
407, 11001.3553131243 
408, 11200.3651664738 
409, 11476.5863038948 
410, 11810.3977836331 
411, 12179.8956803633 
412, 12563.1980260757 
413, 12940.9074753116 
414, 13316.9357092937 
415, 13682.6301129995 
416, 13999.8269315281 
417, 14302.07686563 
418, 14611.486077723 
419, 14932.1265303908 
420, 15211.3827097048 
421, 15494.0163123999 
422, 15803.3819985943 
423, 16138.1292584352 
424, 16447.6027118256 
425, 16691.9876103065 
426, 16837.0533130885 
427, 16850.2582594667 
428, 16787.4185033411 
429, 16798.4081704173 
430, 17005.2266986802 
431, 17310.5329213719 
432, 17712.2830518431 
433, 18302.1643967697 
434, 19200.164261379 
435, 20151.9415994488 
436, 20881.4905642581 
437, 21332.1881128806 
438, 21806.0259971107 
439, 22294.364397408 
440, 22755.09128271 
441, 23170.4182203319 
442, 23710.0003529256 
443, 24280.3973725782 
444, 24804.8001943751 
445, 25232.1737300089 
446, 25575.5707132806 
447, 25883.6338625984 
448, 26210.0083142175 
449, 26615.4830793663 
450, 26958.0895804457 
451, 27143.5580941655 
452, 27137.0565187134 
453, 27068.2960470536 
454, 26917.1039016863 
455, 26725.3936229738 
456, 26591.3211728617 
457, 26560.5997015688 
458, 26570.1206199895 
459, 26553.5101621743 
460, 26484.4842388221 
461, 26378.7523768606 
462, 26264.7973984168 
463, 26158.5481595866 
464, 25985.4938482076 
465, 25717.3026251233 
466, 25387.6069272725 
467, 25087.7982772889 
468, 24832.6079504521 
469, 24640.0242336526 
470, 24520.5622763893 
471, 24481.6402381897 
472, 24453.889423551 
473, 24444.5433214083 
474, 24482.4663832447 
475, 24473.907180346 
476, 24446.8800456498 
477, 24431.7267482518 
478, 24446.8728440965 
479, 24526.183543414 
480, 24638.9276600472 
481, 24724.7715365947 
482, 24707.4347305652 
483, 24526.5043067507 
484, 24144.025596819 
485, 23570.4056532505 
486, 23013.4816152587 
487, 22616.2427857007 
488, 22495.9072473409 
489, 22758.7803699896 
490, 23180.6047957842 
491, 23530.0531749805 
492, 23656.2347361413 
493, 23703.1321175036 
494, 23771.4466152674 
495, 23907.3980130283 
496, 24095.0689165004 
497, 24155.6314229324 
498, 24091.4733303675 
499, 23943.0048959816 
500, 23743.1937729818 
501, 23589.5005703212 
502, 23525.8077670543 
503, 23574.2152557697 
504, 23793.1703094786 
505, 24099.4777257582 
506, 24411.0428509166 
507, 24661.3286665869 
508, 24851.210896185 
509, 25001.133701023 
510, 25142.9773609283 
511, 25330.0894100229 
512, 25460.7311230891 
513, 25487.5019905831 
514, 25398.2376773443 
515, 25192.0930261878 
516, 24911.986995497 
517, 24636.461710993 
518, 24477.7626554326 
519, 24683.3321378036 
520, 25278.3126658205 
521, 26122.3948510015 
522, 26826.6436142561 
523, 27350.5930297917 
524, 27717.6972351277 
525, 27993.9315352617 
526, 28116.8240990692 
527, 28166.3516956387 
528, 28311.0346486604 
529, 28874.2524847622 
530, 29615.9912523503 
531, 30245.3342633893 
532, 30520.2228464439 
533, 30612.9924940258 
534, 30752.2642650026 
535, 31060.172704253 
536, 31526.1579468239 
537, 31866.2286644967 
538, 32026.8694977409 
539, 32048.7424626729 
540, 32037.0194855734 
541, 32065.9007349687 
542, 32231.4152104454 
543, 32606.2553700181 
544, 33039.7467969225 
545, 33417.7706604717 
546, 33679.7317385455 
547, 33834.5606393445 
548, 33938.0872940429 
549, 34057.2439694721 
550, 34235.1009218467 
551, 34421.6780743274 
552, 34564.1716873539 
553, 34666.2760239496 
554, 34775.596899858 
555, 34860.5064704388 
556, 34833.0933119793 
557, 34644.0861998203 
558, 34325.2965670822 
559, 34052.9379414377 
560, 33930.3526087877 
561, 33993.5295932735 
562, 34147.7223096144 
563, 34240.0697331542 
564, 34192.8162379397 
565, 34023.9255160472 
566, 33786.6157778958 
567, 33546.2525837004 
568, 33341.1232372669 
569, 33130.8066431376 
570, 32857.552133947 
571, 32598.7663974891 
572, 32503.719051116 
573, 32534.4547259161 
574, 32528.2639792802 
575, 32381.8067118819 
576, 32110.7498612662 
577, 31860.4995075473 
578, 31728.9419194154 
579, 31770.1417014657 
580, 31944.5997809193 
581, 32243.5518240268 
582, 32603.3500757317 
583, 32910.5721790963 
584, 33107.2847868936 
585, 33109.9818688935 
586, 32906.6188883474 
587, 32645.8648109021 
588, 32320.3687972177 
589, 31880.0467494826 
590, 31327.3697879081 
591, 31129.5503110493 
592, 31278.9330008829 
593, 31556.5282772097 
594, 31545.4224728736 
595, 31389.3619868846 
596, 31169.3425054908 
597, 30940.3306792075 
598, 30691.4565468562 
599, 30383.0948016068 
600, 30042.3038382845 
601, 29742.5734040513 
602, 29511.624086566 
603, 29388.2272137481 
604, 29370.8670154671 
605, 29400.6547733506 
606, 29339.7151152633 
607, 29179.0657060861 
608, 28969.4461066757 
609, 28765.0918864749 
610, 28570.1147198163 
611, 28393.8778880606 
612, 28249.8852169541 
613, 28094.4446841723 
614, 27911.328013936 
615, 27712.5655480416 
616, 27556.2170739706 
617, 27460.9759675956 
618, 27464.4288777513 
619, 27585.1730093897 
620, 27711.4734812479 
621, 27728.9117451863 
622, 27597.6843222529 
623, 27369.5421506531 
624, 27109.696401845 
625, 26861.921402763 
626, 26648.2089656513 
627, 26455.5153540856 
628, 26266.5934661289 
629, 26088.8155610851 
630, 25955.4430563645 
631, 25970.8679688578 
632, 26070.3304558503 
633, 26192.2961739824 
634, 26322.3555272742 
635, 26426.610648595 
636, 26501.9338030486 
637, 26553.5211613045 
638, 26571.760609584 
639, 26535.6574640867 
640, 26425.2650731027 
641, 26233.0669394616 
642, 26084.5828414608 
643, 25996.6554590132 
644, 25939.2917980171 
645, 25835.5279119853 
646, 25669.0912118506 
647, 25457.8701554743 
648, 25242.7782045673 
649, 25072.2690004041 
650, 24943.1759406328 
651, 24877.6759481119 
652, 24916.7513628721 
653, 24864.9492245497 
654, 24593.458480274 
655, 24080.9503623389 
656, 23476.3581965115 
657, 23039.8089245485 
658, 23046.3126330953 
659, 23636.1536559421 
660, 24242.2198679933 
661, 24591.8796471421 
662, 24664.5779839164 
663, 24702.514794213 
664, 24681.1683015732 
665, 24644.1978229032 
666, 24629.6171028239 
667, 24635.7921076268 
668, 24629.4895997098 
669, 24609.3167071975 
670, 24588.4341814792 
671, 24538.8266968718 
672, 24481.3200420882 
673, 24445.6016098608 
674, 24465.3611706674 
675, 24498.9519425221 
676, 24525.4668271403 
677, 24537.1608840442 
678, 24548.8455012627 
679, 24558.0530943816 
680, 24560.4917679825 
681, 24550.7878447911 
682, 24535.7266418472 
683, 24480.838327359 
684, 24277.8671841228 
685, 23726.5007277959 
686, 22739.2708534981 
687, 21408.3053848518 
688, 20062.3983941642 
689, 19501.0686957624 
690, 19911.6492100477 
691, 20923.7722877593 
692, 21836.3775508329 
693, 22634.1721575269 
694, 23211.2201591735 
695, 23561.1297911324 
696, 23811.9581963687 
697, 24032.0437578468 
698, 24183.3210708894 
699, 24216.4468184199 
700, 24161.815132152 
701, 24108.7995197519 
702, 24119.2920363879 
703, 24227.9139968655 
704, 24435.7959587198 
705, 24679.0423218692 
706, 24891.0336831531 
707, 25014.9109065255 
708, 25118.7840569059 
709, 25212.2500367258 
710, 25292.3692038511 
711, 25370.8331105511 
712, 25426.6371891322 
713, 25446.9314588923 
714, 25415.4764907863 
715, 25277.9704184237 
716, 24925.9858624152 
717, 24311.3001636392 
718, 23470.8747546887 
719, 22771.1542336821 
720, 22514.0742808069 
721, 22814.8021054656 
722, 23443.0273699876 
723, 23881.2101671977 
