Wavelength,0212202100133.asd
350, 2723.64061588476 
351, 2865.53402516537 
352, 2997.14103558694 
353, 3110.27644172727 
354, 3218.42151902124 
355, 3330.96410045947 
356, 3451.86298961048 
357, 3573.16859940074 
358, 3698.36206674178 
359, 3830.73034810111 
360, 3976.27793280468 
361, 4154.0991754714 
362, 4359.9883036175 
363, 4583.29336296746 
364, 4809.73217335563 
365, 5039.70580486575 
366, 5259.61171923911 
367, 5452.39697958845 
368, 5600.04700336426 
369, 5688.0432559856 
370, 5720.89969158113 
371, 5715.02315274875 
372, 5693.08452675275 
373, 5684.0265243206 
374, 5694.39150437068 
375, 5713.07034566998 
376, 5728.07203203361 
377, 5737.38639357579 
378, 5729.79670597659 
379, 5680.74389151045 
380, 5614.67576229394 
381, 5538.98432575468 
382, 5454.24708398011 
383, 5352.29512922939 
384, 5247.03722782608 
385, 5172.96565750397 
386, 5173.02555599867 
387, 5279.13509984161 
388, 5433.63411012256 
389, 5570.81038660107 
390, 5632.75176021243 
391, 5695.90607210352 
392, 5758.49771004094 
393, 5811.52846647251 
394, 5855.25748277057 
395, 5976.18856575855 
396, 6214.65778837318 
397, 6586.94286276904 
398, 7108.72085839157 
399, 7702.88946103343 
400, 8313.72245176293 
401, 8910.3845931149 
402, 9475.59772347905 
403, 9941.25631129354 
404, 10278.5067713221 
405, 10539.3040732628 
406, 10745.6398518324 
407, 10930.1384628025 
408, 11132.0432830663 
409, 11406.4223642792 
410, 11738.3329720116 
411, 12106.7393616395 
412, 12487.7352945172 
413, 12865.5323098378 
414, 13239.7472906648 
415, 13600.7058939925 
416, 13916.7438000938 
417, 14217.5675818964 
418, 14525.9717487377 
419, 14847.1862561156 
420, 15126.2712263951 
421, 15409.2884916775 
422, 15718.7449215764 
423, 16051.2027200955 
424, 16358.0836675887 
425, 16601.3012883293 
426, 16746.548841331 
427, 16758.2435289669 
428, 16696.6596649861 
429, 16710.1989708489 
430, 16918.1047452536 
431, 17223.1954865214 
432, 17622.6625089139 
433, 18209.2186589678 
434, 19104.8972191492 
435, 20053.4976183688 
436, 20779.3309366476 
437, 21227.0888337682 
438, 21701.4463054109 
439, 22188.1788669884 
440, 22647.6776970524 
441, 23065.0085690071 
442, 23603.0950495854 
443, 24169.7987199616 
444, 24690.6829118667 
445, 25117.2337632281 
446, 25457.899087144 
447, 25765.3412317231 
448, 26094.5915480289 
449, 26500.4711790362 
450, 26844.3954263845 
451, 27031.0216153708 
452, 27023.9990353553 
453, 26956.1088291254 
454, 26806.6883260427 
455, 26617.5056583671 
456, 26486.6960091451 
457, 26455.2400289334 
458, 26464.0436387861 
459, 26449.6298759236 
460, 26382.8461744374 
461, 26280.5269309756 
462, 26167.3489473149 
463, 26056.4319766522 
464, 25885.5407377989 
465, 25622.7040499013 
466, 25297.060079473 
467, 24996.2146922309 
468, 24744.2180690027 
469, 24555.7388916325 
470, 24437.6514302724 
471, 24399.652968974 
472, 24374.4983082074 
473, 24367.0014492527 
474, 24402.849406771 
475, 24396.2986656147 
476, 24370.9482479891 
477, 24355.2950939684 
478, 24370.450868093 
479, 24452.9728369927 
480, 24567.539277003 
481, 24650.7999484948 
482, 24634.4143375938 
483, 24455.3435770142 
484, 24074.5024683936 
485, 23502.0816271011 
486, 22945.4397441901 
487, 22551.1660228943 
488, 22436.6095173656 
489, 22702.1647657 
490, 23123.2233183091 
491, 23470.9791903754 
492, 23597.4458480241 
493, 23646.3908240396 
494, 23716.2557612684 
495, 23852.0190236439 
496, 24037.7741932726 
497, 24098.7352639401 
498, 24034.4818166154 
499, 23884.1145965197 
500, 23685.0370742463 
501, 23531.5679313151 
502, 23469.5423363662 
503, 23522.9779566789 
504, 23741.1480619002 
505, 24046.1791787758 
506, 24357.9390325867 
507, 24607.3503059146 
508, 24799.7349170804 
509, 24951.751206457 
510, 25092.5230134407 
511, 25280.822346171 
512, 25411.8450681452 
513, 25438.2269597701 
514, 25349.3683779826 
515, 25144.2043410935 
516, 24865.3336914572 
517, 24591.0726604262 
518, 24433.5694158885 
519, 24643.1145534039 
520, 25239.6247587583 
521, 26078.7353120896 
522, 26781.1109575746 
523, 27304.2288055758 
524, 27671.3218248517 
525, 27949.224384744 
526, 28069.4008248545 
527, 28116.8842064089 
528, 28263.7258942216 
529, 28830.6080923598 
530, 29570.7661694579 
531, 30196.4854306324 
532, 30471.5716956809 
533, 30563.4094783819 
534, 30703.5841573257 
535, 31014.263040771 
536, 31481.3066701048 
537, 31820.9420990586 
538, 31980.3271922578 
539, 32001.4876916111 
540, 31992.7655988449 
541, 32022.4040973505 
542, 32187.6203628345 
543, 32565.3429697544 
544, 32997.4948724766 
545, 33374.5909293744 
546, 33637.8639507926 
547, 33791.5771309916 
548, 33894.5055206029 
549, 34014.6959542012 
550, 34194.5071723245 
551, 34377.5233266973 
552, 34520.3703485027 
553, 34626.4085682675 
554, 34734.8727403221 
555, 34818.9463449096 
556, 34791.9042443989 
557, 34604.4383881846 
558, 34287.0034028819 
559, 34015.4760770829 
560, 33892.4734002237 
561, 33953.8666922588 
562, 34109.1881454171 
563, 34200.3173530624 
564, 34150.0839462928 
565, 33984.6283790163 
566, 33749.6454986218 
567, 33508.2098953869 
568, 33299.7115759911 
569, 33091.261941657 
570, 32819.7225424324 
571, 32561.4536361393 
572, 32467.3065265678 
573, 32498.0250612358 
574, 32491.3674400488 
575, 32344.7936402989 
576, 32074.9748500892 
577, 31826.3284865542 
578, 31697.1572656659 
579, 31741.3218066708 
580, 31913.8532412349 
581, 32213.1423878447 
582, 32576.4591341127 
583, 32885.1667309894 
584, 33081.292848967 
585, 33083.078361711 
586, 32879.87265219 
587, 32620.2985882619 
588, 32291.8694733276 
589, 31846.6175553965 
590, 31292.3343692597 
591, 31097.3812396348 
592, 31248.1229228853 
593, 31524.4116123045 
594, 31515.1622694699 
595, 31361.2714703903 
596, 31141.5319447187 
597, 30910.7046425345 
598, 30664.172056098 
599, 30357.1362763882 
600, 30016.2664660469 
601, 29717.7846129869 
602, 29487.9457685507 
603, 29366.1845727527 
604, 29350.7911652417 
605, 29380.5805038349 
606, 29319.9179918498 
607, 29160.5596139782 
608, 28952.9691757198 
609, 28748.7627757494 
610, 28555.6086834766 
611, 28382.1869950115 
612, 28237.4682233355 
613, 28083.8074091933 
614, 27901.7773554602 
615, 27701.6836825016 
616, 27548.2390348808 
617, 27454.4858349083 
618, 27458.4634950355 
619, 27581.5840664868 
620, 27711.2398999239 
621, 27729.1355494403 
622, 27595.5264611944 
623, 27367.3746598818 
624, 27109.00279088 
625, 26863.3446525416 
626, 26651.4793326204 
627, 26459.9361988154 
628, 26269.548200983 
629, 26090.0177911672 
630, 25958.8840898697 
631, 25975.7608556416 
632, 26076.2359532627 
633, 26199.7358370308 
634, 26332.9175043905 
635, 26437.4021063371 
636, 26510.8793693903 
637, 26561.5187909275 
638, 26583.922791671 
639, 26550.0235534176 
640, 26438.8585496995 
641, 26247.0764628178 
642, 26098.5991290549 
643, 26011.0709376949 
644, 25954.9128140447 
645, 25852.2155086606 
646, 25685.3388406657 
647, 25473.59265242 
648, 25259.2822553324 
649, 25084.9015441608 
650, 24956.1215082416 
651, 24894.5884196922 
652, 24930.9708430476 
653, 24880.2224110416 
654, 24609.136930022 
655, 24093.5540156347 
656, 23491.5120468589 
657, 23056.4986101616 
658, 23064.7877287428 
659, 23659.8588359603 
660, 24265.2340968003 
661, 24615.2759629957 
662, 24690.9926396029 
663, 24728.115692797 
664, 24707.6513920938 
665, 24671.6818381373 
666, 24656.4526165786 
667, 24663.1516796971 
668, 24655.9982030449 
669, 24634.9863105393 
670, 24616.0310087822 
671, 24566.6550452285 
672, 24508.8141105244 
673, 24473.3978438897 
674, 24494.5749677408 
675, 24528.9107539257 
676, 24554.7372742625 
677, 24564.9578051711 
678, 24578.9473730036 
679, 24586.871179593 
680, 24586.3238223046 
681, 24578.4466075356 
682, 24563.0933809854 
683, 24508.4074527126 
684, 24305.8155382764 
685, 23748.7799896093 
686, 22758.7515364387 
687, 21426.158256981 
688, 20077.402201228 
689, 19518.1877269803 
690, 19932.4009059902 
691, 20947.1834683767 
692, 21859.728776741 
693, 22652.7190473798 
694, 23226.7632235203 
695, 23576.9687558224 
696, 23823.7345535528 
697, 24045.4235909682 
698, 24200.3317681957 
699, 24233.4369579926 
700, 24176.2334750849 
701, 24121.7259652716 
702, 24132.0100999602 
703, 24240.0490408152 
704, 24450.517618035 
705, 24695.5260726496 
706, 24906.9619427004 
707, 25031.2834756179 
708, 25134.9842597568 
709, 25229.7266724827 
710, 25313.3841873874 
711, 25391.346149336 
712, 25447.6150810621 
713, 25468.1110460747 
714, 25432.3683912847 
715, 25289.0157359829 
716, 24928.8048395423 
717, 24302.4608770644 
718, 23446.1611459329 
719, 22737.1075103161 
720, 22479.1861960031 
721, 22785.8947841189 
722, 23424.0217184007 
723, 23865.3431537263 
724, 23926.7713109897 
725, 23704.9227950198 
726, 23649.1165197869 
727, 23721.1968996172 
728, 23834.1072783758 
729, 23906.1089147353 
730, 24080.2931713021 
731, 24389.26562386 
732, 24812.0747387435 
733, 25280.1087928682 
734, 25687.6417628962 
735, 25952.9212348378 
736, 26039.672694747 
737, 26027.563788383 
738, 26001.8512955037 
739, 25983.2030034485 
740, 25940.4824815238 
741, 25936.1235440461 
742, 25983.3629350955 
743, 26075.9125207644 
744, 26193.2364594762 
745, 26274.660537709 
746, 26313.7534637377 
747, 26321.2806040894 
748, 26296.5330348724 
749, 26220.1835043595 
750, 26110.4653348671 
751, 26011.6803447392 
752, 25967.17444264 
753, 25962.6448270538 
754, 25969.0803768793 
755, 25947.6395861642 
756, 25828.2508656913 
757, 25295.1418440138 
758, 23840.8055762586 
759, 20601.4341831807 
760, 15836.3504762669 
761, 11165.0343640603 
762, 8543.37186353546 
763, 8525.70851390378 
764, 9908.76159163984 
765, 12076.54537441 
766, 14949.8780615548 
767, 18089.6757056919 
768, 20822.0489813064 
769, 22730.3272356523 
770, 23807.8326243343 
771, 24347.5428427585 
772, 24567.5192186694 
773, 24633.9881159754 
774, 24636.1223127663 
775, 24589.6130542249 
776, 24523.416406068 
777, 24458.6738130396 
778, 24369.4844635019 
779, 24258.8568595951 
780, 24146.8879652134 
781, 24061.1172382394 
782, 23965.4550979744 
783, 23847.266195193 
784, 23709.4200730628 
785, 23571.9609466996 
786, 23433.3661354167 
787, 23269.5571818217 
788, 23060.6995864369 
789, 22813.073448806 
790, 22552.8628054436 
791, 22291.1708061589 
792, 22033.3837618455 
793, 21789.3070678214 
794, 21593.0802247646 
795, 21463.5475923179 
796, 21398.5411751744 
797, 21350.5497473811 
798, 21269.8934182095 
799, 21129.5472731214 
800, 20933.0018239326 
801, 20717.171183214 
802, 20516.1082870131 
803, 20345.2258807271 
804, 20183.4476797113 
805, 20045.825736232 
806, 19919.1857369619 
807, 19777.1503289222 
808, 19587.2957843046 
809, 19350.4928828106 
810, 19081.3033298613 
811, 18792.1308561975 
812, 18443.0634166221 
813, 17984.3606422764 
814, 17409.8540894387 
815, 16765.6104545892 
816, 16177.1683084903 
817, 15723.2353443555 
818, 15452.131430281 
819, 15381.1740318912 
820, 15377.7624522462 
821, 15335.8040682546 
822, 15212.0213554935 
823, 15071.2674843759 
824, 14979.9972047949 
825, 15001.0904178348 
826, 15119.5539394366 
827, 15095.4463225489 
828, 14931.5015702028 
829, 14706.885801567 
830, 14530.7770068894 
831, 14420.9297109627 
832, 14347.1107481283 
833, 14290.5518007603 
834, 14248.3254905042 
835, 14236.5250769882 
836, 14236.8476287062 
837, 14221.4325303383 
838, 14160.0389098774 
839, 14063.8862994813 
840, 13945.151602156 
841, 13814.0609802284 
842, 13675.6665033493 
843, 13528.5796503265 
844, 13382.4537191376 
845, 13244.0548253234 
846, 13110.8557161591 
847, 12941.741590326 
848, 12733.9739570906 
849, 12502.3940522996 
850, 12268.9333537711 
851, 11994.9475130008 
852, 11711.723873805 
853, 11477.4703966689 
854, 11304.0450810895 
855, 11165.8488533864 
856, 11104.5011243342 
857, 11179.5580061572 
858, 11297.2781080909 
859, 11330.5389773767 
860, 11255.2144301805 
861, 11139.6909812653 
862, 11001.0107320376 
863, 10819.2662145968 
864, 10596.1551708108 
865, 10364.0456061112 
866, 10145.7565718285 
867, 9961.90367150302 
868, 9843.14402290814 
