Wavelength,0212202100019.asd
350, 3957.59082535884 
351, 4159.94833246394 
352, 4345.84255449163 
353, 4505.97511425231 
354, 4668.87859904126 
355, 4839.6396269353 
356, 5015.6564713389 
357, 5192.38160288178 
358, 5375.55972948211 
359, 5573.74623234376 
360, 5798.3274234378 
361, 6067.03545422004 
362, 6369.56569074881 
363, 6691.97461792495 
364, 7019.89304152266 
365, 7353.28463341005 
366, 7671.23081740934 
367, 7947.11944326563 
368, 8151.7295465528 
369, 8271.28762682946 
370, 8315.68296787681 
371, 8310.68690398827 
372, 8292.66688208185 
373, 8293.77237340625 
374, 8316.94551592962 
375, 8344.41412610237 
376, 8374.7924606289 
377, 8391.39922873697 
378, 8372.44180931594 
379, 8292.58693307919 
380, 8197.07354772165 
381, 8091.02332397078 
382, 7969.48023375565 
383, 7825.94272383702 
384, 7687.16098634633 
385, 7603.59351527634 
386, 7631.52512610276 
387, 7798.90207018638 
388, 8012.88562639251 
389, 8192.02574958542 
390, 8286.96454672312 
391, 8396.98498278895 
392, 8492.94751926412 
393, 8558.33330380359 
394, 8648.86504214526 
395, 8866.04804767181 
396, 9258.28306958391 
397, 9841.24164975708 
398, 10622.2971111141 
399, 11503.8858480511 
400, 12410.5343296303 
401, 13292.7116805737 
402, 14109.517815092 
403, 14783.6159203116 
404, 15287.803019631 
405, 15688.2658551492 
406, 16004.086739344 
407, 16292.9931351055 
408, 16623.1515619066 
409, 17053.5594036504 
410, 17560.1144592574 
411, 18116.4347331078 
412, 18695.9394877578 
413, 19272.5128634776 
414, 19839.2931736329 
415, 20381.3320293765 
416, 20861.3391092172 
417, 21327.6806332961 
418, 21804.3795145366 
419, 22290.7634351738 
420, 22721.4678199436 
421, 23162.3295013605 
422, 23639.9478173819 
423, 24140.8620909796 
424, 24599.4281752775 
425, 24962.5141650929 
426, 25175.4253412825 
427, 25168.1311145053 
428, 25092.5015653713 
429, 25160.0772060033 
430, 25516.0678744874 
431, 25989.1620866267 
432, 26636.0729024901 
433, 27585.5412162664 
434, 28957.1443142363 
435, 30337.1925667412 
436, 31392.1605126009 
437, 32081.9243570901 
438, 32816.509090953 
439, 33559.3882715638 
440, 34265.0952000814 
441, 34925.608829902 
442, 35756.3290494829 
443, 36609.1075589722 
444, 37384.5292565401 
445, 38036.5354439518 
446, 38562.298128225 
447, 39044.8078261687 
448, 39564.4915074897 
449, 40187.0199745688 
450, 40683.7753835818 
451, 40936.6612811456 
452, 40922.9961795979 
453, 40820.9492948199 
454, 40604.9711473158 
455, 40338.0603302929 
456, 40162.0031893001 
457, 40127.1007961579 
458, 40145.9139163065 
459, 40127.029218732 
460, 40030.063746685 
461, 39882.7083700749 
462, 39719.337249584 
463, 39554.3782941655 
464, 39287.9800018006 
465, 38883.8421271334 
466, 38395.5959890799 
467, 37960.1944844114 
468, 37589.1044862546 
469, 37317.678284496 
470, 37164.513664528 
471, 37118.1144237229 
472, 37093.3514216258 
473, 37097.4561896621 
474, 37162.0941651052 
475, 37155.3969928249 
476, 37128.2353417367 
477, 37125.1330525787 
478, 37160.84929554 
479, 37297.2114238754 
480, 37471.8186199989 
481, 37582.5311538075 
482, 37539.6015635684 
483, 37232.7209440729 
484, 36611.6311975586 
485, 35717.735804079 
486, 34899.3260124364 
487, 34350.4528308919 
488, 34226.239791493 
489, 34680.2324321293 
490, 35320.0772266618 
491, 35823.7586797987 
492, 36007.3962764639 
493, 36080.0298771709 
494, 36199.526256096 
495, 36423.5258042594 
496, 36703.2961182605 
497, 36778.4391133463 
498, 36666.0337613544 
499, 36434.8607376708 
500, 36126.9626923217 
501, 35911.9177044096 
502, 35847.9083385716 
503, 35951.5645352482 
504, 36325.7291804462 
505, 36810.8763768021 
506, 37278.307594882 
507, 37656.612161014 
508, 37940.4277758078 
509, 38164.621681527 
510, 38381.3438158875 
511, 38673.0205802154 
512, 38863.1267390512 
513, 38886.6558736569 
514, 38744.0219909852 
515, 38406.2603236408 
516, 37960.7046547362 
517, 37546.0296961563 
518, 37339.937970021 
519, 37727.0822768182 
520, 38702.8527237518 
521, 40009.467162548 
522, 41063.2499354248 
523, 41846.6011709003 
524, 42400.8417195249 
525, 42802.1596325573 
526, 42961.8932180894 
527, 43036.0056152907 
528, 43300.1739115373 
529, 44234.5884822533 
530, 45397.6144717896 
531, 46331.1949606478 
532, 46691.7757105701 
533, 46814.1833496887 
534, 47047.9845657541 
535, 47558.3183145866 
536, 48290.5595452834 
537, 48790.1978451715 
538, 49003.3654636122 
539, 49022.6674730253 
540, 49009.125207894 
541, 49068.4889759268 
542, 49350.5764019625 
543, 49969.0487752468 
544, 50642.5417889709 
545, 51215.2075347762 
546, 51607.527397363 
547, 51823.3603813679 
548, 51973.9899242854 
549, 52162.6666309311 
550, 52445.1241524129 
551, 52727.088235448 
552, 52940.8429246088 
553, 53099.116033424 
554, 53274.7391345102 
555, 53406.803707864 
556, 53351.8683739532 
557, 53036.7265088933 
558, 52531.6297399859 
559, 52122.4913685836 
560, 51966.7530393567 
561, 52105.8474914742 
562, 52368.1540732642 
563, 52507.3075284897 
564, 52415.3990890331 
565, 52156.013538669 
566, 51792.1778483685 
567, 51439.1129343631 
568, 51161.8691061394 
569, 50855.8633297451 
570, 50439.662258479 
571, 50049.33335428 
572, 49935.2719414201 
573, 50035.1816130168 
574, 50047.240930145 
575, 49795.5006769002 
576, 49352.9925308529 
577, 48970.550406579 
578, 48782.0642123787 
579, 48844.9157911922 
580, 49116.2287275412 
581, 49585.3018882284 
582, 50144.1893005853 
583, 50598.6059529502 
584, 50873.7021806145 
585, 50841.4263876599 
586, 50495.8625571227 
587, 50115.9121622977 
588, 49655.2196472472 
589, 49001.2859293458 
590, 48146.6861163846 
591, 47974.3202451301 
592, 48303.7980790464 
593, 48714.8252936196 
594, 48630.2474924009 
595, 48344.9122627126 
596, 47984.2536816372 
597, 47609.6278689704 
598, 47183.2925314318 
599, 46662.7870356813 
600, 46103.7557006807 
601, 45627.1376529705 
602, 45254.5697150005 
603, 45070.1862737356 
604, 45072.2972982742 
605, 45118.1312792268 
606, 45000.46356889 
607, 44729.4766843997 
608, 44405.6353106835 
609, 44083.1765033259 
610, 43781.4690146696 
611, 43516.9148324007 
612, 43300.171782337 
613, 43059.0880731133 
614, 42769.7202726366 
615, 42455.7493251303 
616, 42219.1770939864 
617, 42066.5837900908 
618, 42079.59000159 
619, 42314.5106909237 
620, 42505.859819794 
621, 42507.7031735123 
622, 42282.7358410563 
623, 41912.2418614081 
624, 41507.8852666511 
625, 41135.9886411624 
626, 40827.5862299542 
627, 40572.0984998983 
628, 40294.6228880699 
629, 40015.4322445007 
630, 39826.5300498045 
631, 39854.1394906448 
632, 39999.7074187625 
633, 40173.8356659798 
634, 40359.5418126832 
635, 40493.5058502888 
636, 40580.0299021084 
637, 40640.6193311109 
638, 40664.947006606 
639, 40597.1237542138 
640, 40400.0162388987 
641, 40073.2813945191 
642, 39844.9029127762 
643, 39726.2249604334 
644, 39651.3214505509 
645, 39488.4808462294 
646, 39239.9449838581 
647, 38941.0938357389 
648, 38647.6431025501 
649, 38396.3503930711 
650, 38185.948085499 
651, 38071.000058184 
652, 38145.7596198502 
653, 38052.139623355 
654, 37603.1813954231 
655, 36775.6765824337 
656, 35753.6996732828 
657, 35057.461762469 
658, 35154.8692904138 
659, 36222.6376214744 
660, 37090.6316306922 
661, 37535.4422574795 
662, 37625.2074177896 
663, 37662.566094056 
664, 37606.7941928361 
665, 37540.8618966215 
666, 37530.0798956395 
667, 37535.4248986465 
668, 37517.4468145016 
669, 37482.3745059327 
670, 37454.0122496784 
671, 37366.9197646676 
672, 37267.0608147712 
673, 37211.1389171708 
674, 37252.755028698 
675, 37300.9393649213 
676, 37331.0624839814 
677, 37344.3450517873 
678, 37362.3984164241 
679, 37369.4001606988 
680, 37361.176109812 
681, 37340.4236145254 
682, 37316.9613832282 
683, 37233.1617203009 
684, 36922.5140418683 
685, 36084.6126912576 
686, 34579.7227962139 
687, 32499.2655789019 
688, 30371.6127154927 
689, 29758.7016999201 
690, 30568.6666638352 
691, 32144.6180076867 
692, 33524.1213924823 
693, 34722.7528939588 
694, 35581.0579194015 
695, 36082.9932507258 
696, 36415.4355151406 
697, 36688.061089883 
698, 36855.695859398 
699, 36860.7874109122 
700, 36779.0175499495 
701, 36696.6961414526 
702, 36694.2644506653 
703, 36836.0591758515 
704, 37134.1666785522 
705, 37470.4655210758 
706, 37740.5920581386 
707, 37885.4214448227 
708, 38007.4994220282 
709, 38120.3277577912 
710, 38218.4260436523 
711, 38322.9796323459 
712, 38389.6522040557 
713, 38410.0315509265 
714, 38383.4704623701 
715, 38230.3440449742 
716, 37800.3122537078 
717, 37021.7000420261 
718, 35935.0120184887 
719, 35042.4780242933 
720, 34760.2101169545 
721, 35237.7190959954 
722, 36123.4487313334 
723, 36679.5582324659 
724, 36721.7805925749 
725, 36467.5816597067 
726, 36466.3237833303 
727, 36590.0624853474 
728, 36709.28489794 
729, 36773.985520178 
730, 37000.2530922495 
731, 37412.9681410197 
732, 37960.2082957945 
733, 38539.8109265222 
734, 39022.5376267428 
735, 39309.2085459595 
736, 39363.0237949745 
737, 39313.1350308113 
738, 39238.4883979083 
739, 39155.7165187548 
740, 39037.6227591173 
741, 38990.7558268946 
742, 39033.1881342383 
743, 39149.9770291282 
744, 39304.1505707918 
745, 39399.7517847361 
746, 39434.0950789228 
747, 39428.5899032332 
748, 39366.6312818302 
749, 39226.204902724 
750, 39040.4929655921 
751, 38879.3766366815 
752, 38801.4149617544 
753, 38781.0697633983 
754, 38773.6514441981 
755, 38723.0835147987 
756, 38532.4822804401 
757, 37729.4243607681 
758, 35519.3844428435 
759, 30473.5680115403 
760, 23206.4483928109 
761, 16354.2184159367 
762, 12916.6291527762 
763, 13250.8542621118 
764, 15468.1923302278 
765, 18707.5534941353 
766, 22997.6192634747 
767, 27544.9496379145 
768, 31385.4842480713 
769, 33971.3637953787 
770, 35373.0283308522 
771, 36035.5922659024 
772, 36274.1247276693 
773, 36316.5490426718 
774, 36275.1188969785 
775, 36171.4152216329 
776, 36043.6289254744 
777, 35918.6160650799 
778, 35757.9637084059 
779, 35568.9599527372 
780, 35380.847641287 
781, 35230.9538315221 
782, 35064.9047520939 
783, 34867.2239328117 
784, 34646.1681757016 
785, 34435.318162267 
786, 34228.3370299351 
787, 33987.832389372 
788, 33685.913984039 
789, 33342.4966468642 
790, 32972.9218661532 
791, 32584.7388130006 
792, 32186.5040027174 
793, 31800.2087948507 
794, 31490.9182629347 
795, 31295.234513029 
796, 31210.3574493337 
797, 31144.6825575397 
798, 31016.7031663582 
799, 30793.0033847635 
800, 30500.3914210459 
801, 30190.7418526559 
802, 29904.9808306833 
803, 29655.9665001591 
804, 29405.9931296993 
805, 29182.1620534166 
806, 28974.7379645505 
807, 28754.1770362171 
808, 28471.5032463809 
809, 28141.6703557745 
810, 27788.6780687637 
811, 27426.0389742968 
812, 26990.9724576572 
813, 26416.724375165 
814, 25694.6131656466 
815, 24882.632164835 
816, 24121.4317254412 
817, 23512.1990805964 
818, 23121.1529227305 
819, 22974.955070008 
820, 22905.836133772 
821, 22802.7862232445 
822, 22623.7382512821 
823, 22428.258932494 
824, 22305.4287801426 
825, 22315.5110317078 
826, 22423.4089917022 
827, 22346.5093247648 
828, 22098.9811626039 
829, 21782.0338419272 
830, 21527.1694656834 
831, 21344.1631867448 
832, 21198.5015657273 
833, 21073.3385404878 
834, 20972.2715839917 
835, 20912.9821214195 
836, 20872.9808786396 
837, 20815.1499027565 
838, 20696.3736819296 
839, 20529.0766827835 
840, 20332.4375819638 
841, 20121.626879852 
842, 19900.668971716 
843, 19673.1868131738 
844, 19448.2488849143 
845, 19230.2049561162 
846, 19014.8512613113 
847, 18750.9614329085 
848, 18436.0600640911 
849, 18088.8638808064 
850, 17732.9039026397 
851, 17324.4415975366 
852, 16908.1065240966 
853, 16561.390759082 
854, 16298.2274491466 
855, 16088.259161554 
856, 15992.5662274628 
857, 16092.3310540223 
858, 16238.461675465 
859, 16260.2902960203 
860, 16130.2344632299 
861, 15945.9458509998 
862, 15722.8463406791 
863, 15441.5618793096 
864, 15107.7579023326 
865, 14761.9799648772 
866, 14437.5654847339 
867, 14164.4610028406 
868, 13985.4917916685 
869, 13956.9916408986 
870, 13983.4744902466 
871, 13956.950405143 
872, 13830.0892913938 
873, 13662.9390939405 
874, 13482.5511369306 
875, 13300.8674558396 
876, 13121.7559262614 
877, 12945.7751547634 
878, 12776.8062473798 
879, 12610.4098563023 
880, 12441.7500126266 
881, 12272.3078958956 
882, 12103.6857796104 
883, 11944.0641275405 
884, 11797.4562794714 
885, 11649.5665014258 
886, 11489.0608067721 
887, 11320.9849298197 
888, 11156.1416671301 
889, 10996.3929674047 
890, 10839.0228911105 
891, 10666.0856895794 
892, 10456.665743151 
893, 10209.765373355 
894, 9926.68715131135 
895, 9614.82413949076 
896, 9286.08967524743 
897, 8951.54513561207 
898, 8637.41346754864 
899, 8373.6044254961 
900, 8184.74324780235 
901, 8069.53491542662 
902, 8009.20449860878 
903, 7976.70081016795 
904, 7942.75196992764 
