Wavelength,0212202100085.asd
350, 2651.27762384859 
351, 2789.71284946334 
352, 2916.89562602101 
353, 3024.6674239142 
354, 3130.86504941762 
355, 3241.85140759165 
356, 3358.519306384 
357, 3476.07410141613 
358, 3596.81107976662 
359, 3724.13318443563 
360, 3864.65409958087 
361, 4037.31268747071 
362, 4236.87055168423 
363, 4452.45378636309 
364, 4670.52007417619 
365, 4893.10582720957 
366, 5107.61532799352 
367, 5296.63284409637 
368, 5439.41682112796 
369, 5525.57304708528 
370, 5556.71968293264 
371, 5546.50577243784 
372, 5524.72841391367 
373, 5516.12566008419 
374, 5525.11842822512 
375, 5540.6555281879 
376, 5554.8737985184 
377, 5564.07192514019 
378, 5555.71162468932 
379, 5505.4310951694 
380, 5440.30505995466 
381, 5367.20525908135 
382, 5285.06102611812 
383, 5183.01900133513 
384, 5080.91004508379 
385, 5010.4189339823 
386, 5008.46481462249 
387, 5109.41346904844 
388, 5257.8644242378 
389, 5389.6986247049 
390, 5447.80959332814 
391, 5510.36551757848 
392, 5572.87557517354 
393, 5623.77318548491 
394, 5663.22930647579 
395, 5777.45752715368 
396, 6006.27715608178 
397, 6365.14292310729 
398, 6867.3257833145 
399, 7441.12460142067 
400, 8032.11674002075 
401, 8607.12683468659 
402, 9151.53230092927 
403, 9601.81185407762 
404, 9929.57524353229 
405, 10179.038871521 
406, 10377.3783166924 
407, 10555.2397103886 
408, 10748.3750314976 
409, 11012.6491452961 
410, 11330.5886532362 
411, 11682.5561982489 
412, 12048.8679183461 
413, 12413.101587728 
414, 12774.7752746701 
415, 13123.4720906632 
416, 13425.6331724209 
417, 13713.8004700005 
418, 14010.7041408074 
419, 14320.9496643016 
420, 14591.3785768284 
421, 14860.928064497 
422, 15153.6736048959 
423, 15473.6705893393 
424, 15769.689185197 
425, 16003.4396699611 
426, 16142.0344162767 
427, 16153.7881767502 
428, 16092.9758491627 
429, 16102.571650149 
430, 16299.0422275188 
431, 16591.3427550183 
432, 16975.3196508141 
433, 17537.8923160826 
434, 18394.7538582046 
435, 19309.419321599 
436, 20009.5673612086 
437, 20438.236939755 
438, 20894.7844241935 
439, 21362.454020146 
440, 21802.0496790156 
441, 22199.5884604042 
442, 22715.5025316908 
443, 23260.8255168403 
444, 23761.7383741075 
445, 24168.7681970373 
446, 24497.7970798392 
447, 24792.9453776764 
448, 25103.7785069445 
449, 25489.2967345926 
450, 25818.7783248387 
451, 25998.9983823727 
452, 25991.9283290902 
453, 25923.6315862859 
454, 25778.5798557342 
455, 25596.1673799326 
456, 25465.8956706033 
457, 25433.7215267098 
458, 25441.2532828369 
459, 25425.7172284608 
460, 25360.275077054 
461, 25258.591726714 
462, 25147.5067226004 
463, 25043.1335167109 
464, 24878.7963365034 
465, 24624.2244527792 
466, 24308.7755900016 
467, 24018.3080962817 
468, 23773.4109020626 
469, 23589.5197204138 
470, 23473.7367691085 
471, 23431.2666706495 
472, 23402.6109969504 
473, 23394.7387297975 
474, 23431.9791030566 
475, 23423.9253313171 
476, 23397.0569797876 
477, 23380.7669813189 
478, 23393.7622287955 
479, 23470.8800813565 
480, 23579.9760621052 
481, 23661.110676163 
482, 23645.0342106138 
483, 23473.801473111 
484, 23109.7753517817 
485, 22560.8713607219 
486, 22024.4482026083 
487, 21643.4558562925 
488, 21531.0645390359 
489, 21780.4454590256 
490, 22182.9729687734 
491, 22517.4608231475 
492, 22638.0904139822 
493, 22682.0192580947 
494, 22745.6720312581 
495, 22874.7411937251 
496, 23056.1503188565 
497, 23115.0601795658 
498, 23052.9397393603 
499, 22909.4259001603 
500, 22719.8742104281 
501, 22573.2729534585 
502, 22513.4175380232 
503, 22563.8719516219 
504, 22772.6809751653 
505, 23064.9316676029 
506, 23364.5337218358 
507, 23606.850133033 
508, 23788.2377907704 
509, 23928.1374390859 
510, 24059.269019208 
511, 24238.0723800851 
512, 24364.5345546207 
513, 24390.5087783344 
514, 24302.3937026198 
515, 24104.9192766805 
516, 23838.7885101455 
517, 23576.9520209521 
518, 23422.8648487155 
519, 23620.0199727789 
520, 24188.9589498563 
521, 24992.0678732184 
522, 25666.4366767377 
523, 26169.1512885037 
524, 26521.5502435104 
525, 26788.0928568924 
526, 26906.9394287369 
527, 26955.6717684083 
528, 27096.0393953114 
529, 27635.9992895227 
530, 28343.3700632072 
531, 28943.9115797901 
532, 29210.6788358381 
533, 29300.2322864953 
534, 29433.2594118831 
535, 29728.4138478009 
536, 30176.3552714973 
537, 30500.2976151184 
538, 30652.9747923106 
539, 30676.8649901858 
540, 30669.3462877168 
541, 30698.9597758103 
542, 30857.5628293521 
543, 31216.0856092649 
544, 31629.1279985093 
545, 31991.6032205884 
546, 32246.1687192404 
547, 32395.9261973028 
548, 32494.0496966982 
549, 32606.1500663932 
550, 32775.1350554565 
551, 32951.755797898 
552, 33087.6793772968 
553, 33186.7725764435 
554, 33293.1339640982 
555, 33373.9432181082 
556, 33347.3943384138 
557, 33168.6924814155 
558, 32869.4391387022 
559, 32610.7312618709 
560, 32491.5282583395 
561, 32550.1249409014 
562, 32700.1356431913 
563, 32789.5505976471 
564, 32742.88258418 
565, 32582.6563132412 
566, 32358.3891075889 
567, 32128.983326095 
568, 31929.928082097 
569, 31731.3271899063 
570, 31472.2175325657 
571, 31225.2373805425 
572, 31134.357973809 
573, 31161.3451156675 
574, 31152.5836909138 
575, 31010.9334613616 
576, 30751.8829474383 
577, 30510.4131213724 
578, 30382.7011964658 
579, 30423.3843535444 
580, 30588.1812152837 
581, 30871.5913117939 
582, 31215.1954625222 
583, 31511.9166356356 
584, 31702.6352638215 
585, 31707.4848556259 
586, 31515.7747498444 
587, 31270.4852554374 
588, 30965.1528599925 
589, 30553.1718286929 
590, 30036.6519452039 
591, 29851.0246979609 
592, 29993.0431509072 
593, 30257.2787275741 
594, 30246.9137933082 
595, 30099.421570186 
596, 29887.8291712827 
597, 29661.780330847 
598, 29416.5603842174 
599, 29116.7074266411 
600, 28787.6878988537 
601, 28497.3859797867 
602, 28271.690424462 
603, 28151.3723399733 
604, 28135.2667687556 
605, 28159.973271239 
606, 28098.8962780619 
607, 27945.2340477082 
608, 27746.7963292915 
609, 27548.5126764742 
610, 27361.5827312404 
611, 27193.4192110077 
612, 27047.5063935817 
613, 26897.5461724444 
614, 26722.9382977851 
615, 26530.157833568 
616, 26380.1681337891 
617, 26288.1682284538 
618, 26289.698661425 
619, 26403.2124097201 
620, 26522.5765893435 
621, 26538.5658224167 
622, 26413.0098260328 
623, 26195.00646926 
624, 25945.4006150664 
625, 25707.5716630131 
626, 25503.9291160154 
627, 25320.7357963866 
628, 25136.8695214119 
629, 24963.3904790765 
630, 24839.8106777417 
631, 24852.5735232814 
632, 24944.8374211071 
633, 25061.8062904759 
634, 25188.4193060249 
635, 25285.1125407737 
636, 25353.308616423 
637, 25403.7656216202 
638, 25421.6184213143 
639, 25386.4725699633 
640, 25280.4256077648 
641, 25098.1456234314 
642, 24954.0048658602 
643, 24868.9433912284 
644, 24816.9242503324 
645, 24718.338046475 
646, 24563.2672762307 
647, 24368.8769638757 
648, 24170.9769818836 
649, 24007.4585108297 
650, 23881.8081088077 
651, 23817.1049578398 
652, 23849.0098970214 
653, 23797.846232196 
654, 23536.475230041 
655, 23042.7214599657 
656, 22469.9468558364 
657, 22052.7582878735 
658, 22052.7122024638 
659, 22609.1831882289 
660, 23184.7162862627 
661, 23517.9993888774 
662, 23587.6810611908 
663, 23623.1539268668 
664, 23601.620176825 
665, 23564.7497544493 
666, 23549.3924606217 
667, 23556.8437131895 
668, 23550.5381159267 
669, 23529.2985504353 
670, 23508.710713482 
671, 23463.93528847 
672, 23409.7158080064 
673, 23373.3009237682 
674, 23392.2162605043 
675, 23423.9677244339 
676, 23447.9937581342 
677, 23457.8704057839 
678, 23472.6869649844 
679, 23481.7007939789 
680, 23482.1934823312 
681, 23475.4296478854 
682, 23460.8278675576 
683, 23409.4894229831 
684, 23218.4045589433 
685, 22689.4152848237 
686, 21749.5441940952 
687, 20484.2524847673 
688, 19201.5289110958 
689, 18659.6344784462 
690, 19049.9736915019 
691, 20023.2350018179 
692, 20907.9322725573 
693, 21684.5774019824 
694, 22253.423685776 
695, 22604.5301258437 
696, 22847.5151744339 
697, 23051.8658706653 
698, 23192.2331492904 
699, 23229.9329610963 
700, 23186.7398150999 
701, 23144.3389743882 
702, 23158.9518256828 
703, 23262.5069947482 
704, 23463.1421281279 
705, 23695.499919116 
706, 23895.6280435647 
707, 24016.5146423967 
708, 24117.4858450179 
709, 24208.9048353259 
710, 24289.5499661838 
711, 24367.3568328341 
712, 24424.3347710443 
713, 24448.7324208308 
714, 24425.7460221304 
715, 24311.9863053769 
716, 24000.8433318383 
717, 23445.3618601625 
718, 22684.2385194864 
719, 22046.2603669424 
720, 21811.3773545357 
721, 22089.7125888235 
722, 22670.5619461526 
723, 23082.7931570794 
724, 23157.0160645231 
725, 22971.8755806176 
726, 22932.0160420596 
727, 23003.1118199005 
728, 23108.0492295043 
729, 23175.6260796365 
730, 23334.4924544342 
731, 23618.2645831164 
732, 24008.7779840842 
733, 24435.0707702816 
734, 24804.1439094946 
735, 25043.8195613532 
736, 25122.529586505 
737, 25111.8510906086 
738, 25083.9952536483 
739, 25057.4591854734 
740, 25008.5302842975 
741, 24999.7180002688 
742, 25043.1811955307 
743, 25130.8517387032 
744, 25239.4528771189 
745, 25318.3275378721 
746, 25358.0687003763 
747, 25364.4884406834 
748, 25340.3348335259 
749, 25268.275177727 
750, 25164.8240047018 
751, 25070.2874862466 
752, 25025.9945527771 
753, 25020.7940542005 
754, 25027.6550444915 
755, 25007.5849185735 
756, 24893.3094176421 
757, 24381.331164095 
758, 22985.692966433 
759, 19883.6585771904 
760, 15310.4832581897 
761, 10810.9362214732 
762, 8262.09929908771 
763, 8227.18192037415 
764, 9546.47665655488 
765, 11624.040116845 
766, 14381.4279482803 
767, 17404.7169203362 
768, 20043.7604248509 
769, 21893.1351560711 
770, 22940.4722403567 
771, 23466.3368764664 
772, 23680.2620054605 
773, 23743.7022898457 
774, 23747.1063375627 
775, 23704.2995008758 
776, 23642.0162219637 
777, 23579.913408693 
778, 23494.7560632295 
779, 23389.6436290216 
780, 23282.7954293727 
781, 23198.8030014095 
782, 23103.7163180993 
783, 22990.0912230859 
784, 22860.6117987289 
785, 22726.5222910176 
786, 22594.251040679 
787, 22442.5140533002 
788, 22250.3915514796 
789, 22016.6148763216 
790, 21770.6890600706 
791, 21520.7135583667 
792, 21268.5383833749 
793, 21030.864743081 
794, 20839.4953031958 
795, 20712.8439265085 
796, 20650.2352061114 
797, 20605.8983697551 
798, 20528.6882166755 
799, 20392.7962148065 
800, 20206.6108062714 
801, 19999.2233783439 
