Wavelength,0212202100089.asd
350, 112.64950822434 
351, 117.574227893651 
352, 123.118461635965 
353, 126.657190390143 
354, 130.376141031768 
355, 135.129583874244 
356, 140.633228889258 
357, 144.270130355432 
358, 148.605906637078 
359, 153.74300398247 
360, 158.79035382187 
361, 164.444950031137 
362, 172.313164320136 
363, 181.650107516555 
364, 189.581264736877 
365, 197.54471266588 
366, 205.839480850293 
367, 213.565471946173 
368, 217.828958603232 
369, 221.318473945404 
370, 223.276630690571 
371, 222.572836311211 
372, 220.485775760924 
373, 221.337083104169 
374, 223.596302713991 
375, 222.426427670238 
376, 220.955766982407 
377, 221.117309808191 
378, 221.971920306742 
379, 219.033167529831 
380, 215.951097777308 
381, 212.410957873216 
382, 208.035445939451 
383, 205.113496358025 
384, 201.0413167116 
385, 197.408327164285 
386, 197.510056913959 
387, 201.719167448658 
388, 207.657589343974 
389, 212.523994272926 
390, 213.760886217304 
391, 216.089348968114 
392, 218.714210584894 
393, 220.461629173868 
394, 221.330393541074 
395, 226.569403909171 
396, 235.204562142631 
397, 245.625524132426 
398, 266.654391080899 
399, 288.681554854422 
400, 309.311542790366 
401, 332.676346672685 
402, 352.450450476165 
403, 368.003634198722 
404, 380.114911841803 
405, 390.231806587401 
406, 397.356068584707 
407, 403.522259822562 
408, 411.156922614621 
409, 419.533428273433 
410, 431.024957858382 
411, 444.510666124343 
412, 456.584922973527 
413, 470.792622544129 
414, 484.701911422148 
415, 496.737448786221 
416, 508.236101203554 
417, 518.347879876743 
418, 528.629018336945 
419, 540.117487558437 
420, 548.596808399467 
421, 559.060430337838 
422, 571.260230589252 
423, 581.340690123258 
424, 591.903804854329 
425, 600.384723825132 
426, 604.603112774545 
427, 603.9333357983 
428, 602.619290575739 
429, 603.305507159491 
430, 608.161257802972 
431, 620.118560193211 
432, 634.188821037087 
433, 653.722542775977 
434, 686.336739420121 
435, 718.065044910319 
436, 742.500105255026 
437, 759.257105665336 
438, 775.699210245437 
439, 792.682757442529 
440, 808.413623507826 
441, 821.967519508256 
442, 840.793716577245 
443, 860.046822795614 
444, 877.0611115285 
445, 891.326573052226 
446, 903.146530314381 
447, 913.829739486057 
448, 924.899596565209 
449, 938.342325684266 
450, 948.625265211555 
451, 953.732349208199 
452, 953.710665724766 
453, 951.206245274401 
454, 945.662910933125 
455, 938.332205782571 
456, 932.300921023694 
457, 933.04957940364 
458, 933.498717384023 
459, 929.29678870319 
460, 926.915736734084 
