Wavelength,0212202100008.asd
350, 164.579509034062 
351, 173.724503190506 
352, 181.492407685528 
353, 186.225111770808 
354, 192.563252925081 
355, 199.73548279979 
356, 206.044245113171 
357, 211.464625195573 
358, 218.997118073555 
359, 228.012512260823 
360, 236.66567817003 
361, 247.62485536715 
362, 260.036527880418 
363, 272.630828994738 
364, 284.202826909679 
365, 297.095726407255 
366, 309.026697003983 
367, 318.412220474576 
368, 326.710507352307 
369, 331.151117661037 
370, 333.241453041883 
371, 334.637853670249 
372, 331.069642433438 
373, 330.205442221442 
374, 331.718995346284 
375, 330.629426838039 
376, 333.202597836727 
377, 334.018929783108 
378, 330.918387840979 
379, 327.888513077671 
380, 325.077601927345 
381, 321.387387411246 
382, 316.009296362364 
383, 309.896493006243 
384, 304.471919764347 
385, 301.130213155818 
386, 301.492708218329 
387, 309.573316657396 
388, 317.478147180047 
389, 321.937803354883 
390, 325.593988261548 
391, 329.362249970515 
392, 332.111747553378 
393, 333.677779235386 
394, 336.322096531138 
395, 346.472172821718 
396, 363.116049942015 
397, 383.533514136777 
398, 413.567732374723 
399, 447.083428572921 
400, 481.041407547805 
401, 515.384277593017 
402, 545.754433764426 
403, 570.210527862242 
404, 588.45386650781 
405, 601.874961419421 
406, 614.103851147389 
407, 625.841436320822 
408, 637.647611254123 
409, 654.326168326844 
410, 673.950490290787 
411, 694.201274424677 
412, 713.11572957236 
413, 734.274397616233 
414, 755.53784226646 
415, 775.168427619818 
416, 793.532530899645 
417, 811.092445470118 
418, 828.158934071282 
419, 844.891304382004 
420, 861.057861700012 
421, 877.264299556071 
422, 893.924772037707 
423, 911.14478217108 
424, 928.486138277101 
425, 941.741908362467 
426, 948.194385075687 
427, 948.112153674979 
428, 946.053270201337 
429, 948.551889760411 
430, 960.442807521758 
431, 978.251717248583 
432, 1002.16422180012 
433, 1036.60437102126 
434, 1086.78380862633 
435, 1136.34112117756 
436, 1174.33540579865 
437, 1200.13550872482 
438, 1228.42653589689 
439, 1254.493115908 
440, 1278.95993578776 
441, 1304.28080034341 
442, 1334.87574597821 
443, 1365.23247501306 
444, 1392.31447593874 
445, 1415.4525163403 
446, 1434.25517848481 
447, 1451.32812302942 
448, 1469.49435759917 
449, 1491.6860595278 
450, 1509.34821810704 
451, 1517.25080022512 
452, 1514.32864653715 
453, 1511.01991709264 
454, 1503.94184429832 
455, 1493.93428506238 
456, 1486.03279848752 
457, 1484.61989891414 
458, 1485.2663305208 
459, 1483.60218929427 
460, 1478.8724340585 
461, 1474.0211790223 
462, 1468.5594004695 
463, 1460.7183803063 
464, 1450.29380279509 
465, 1435.20471382946 
466, 1416.44432538977 
467, 1398.28133409353 
468, 1385.49295625955 
469, 1375.76109789505 
470, 1367.58895385127 
471, 1366.42855429931 
472, 1366.38816900888 
473, 1366.38195194951 
474, 1367.23655781234 
475, 1366.30699786927 
476, 1365.47915827789 
477, 1365.95546477564 
478, 1367.56408810196 
479, 1371.3588542043 
480, 1376.31409461483 
481, 1379.73544603159 
482, 1376.29649255191 
483, 1365.0450721667 
484, 1343.55136629249 
