Simulated Spectral Output From CRREL Snow RTM
File Created: Tue Jul 19 11:30:54 2022
Short Description: Coarse_Grain for depth 13.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 130.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:130.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:12Feb_UVD_Pit1_3_10redo.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.956,0.043,0.000
400.000,0.956,0.044,0.000
420.000,0.958,0.041,0.000
440.000,0.957,0.043,0.000
460.000,0.957,0.043,0.001
480.000,0.956,0.043,0.001
500.000,0.957,0.041,0.002
520.000,0.956,0.041,0.003
540.000,0.954,0.041,0.005
560.000,0.950,0.042,0.008
580.000,0.949,0.039,0.011
600.000,0.949,0.037,0.014
620.000,0.944,0.035,0.021
640.000,0.938,0.035,0.028
660.000,0.932,0.033,0.036
680.000,0.928,0.030,0.042
700.000,0.923,0.025,0.052
720.000,0.910,0.022,0.067
740.000,0.905,0.021,0.075
760.000,0.889,0.016,0.096
780.000,0.870,0.012,0.118
800.000,0.860,0.008,0.132
820.000,0.853,0.008,0.139
840.000,0.852,0.008,0.141
860.000,0.831,0.005,0.165
880.000,0.791,0.002,0.208
900.000,0.778,0.001,0.221
920.000,0.767,0.001,0.233
940.000,0.748,0.001,0.252
960.000,0.724,0.000,0.276
980.000,0.676,0.000,0.325
1000.000,0.631,0.000,0.371
1020.000,0.587,0.000,0.414
1040.000,0.585,0.000,0.417
1060.000,0.612,0.000,0.390
1080.000,0.632,0.000,0.369
1100.000,0.637,0.000,0.365
1120.000,0.630,0.000,0.371
1140.000,0.604,0.000,0.398
1160.000,0.561,0.000,0.441
1180.000,0.495,0.000,0.507
1200.000,0.444,0.000,0.559
1220.000,0.382,0.000,0.621
1240.000,0.357,0.000,0.646
1260.000,0.349,0.000,0.654
1280.000,0.353,0.000,0.650
1300.000,0.354,0.000,0.648
1320.000,0.352,0.000,0.651
1340.000,0.362,0.000,0.641
1360.000,0.351,0.000,0.652
1380.000,0.337,0.000,0.666
1400.000,0.307,0.000,0.696
1420.000,0.171,0.000,0.833
1440.000,0.094,0.000,0.910
1460.000,0.059,0.000,0.943
1480.000,0.040,0.000,0.962
1500.000,0.036,0.000,0.965
1520.000,0.041,0.000,0.960
1540.000,0.042,0.000,0.960
1560.000,0.050,0.000,0.953
1580.000,0.056,0.000,0.946
1600.000,0.064,0.000,0.938
