Simulated Spectral Output From CRREL Snow RTM
File Created: Tue Jul 19 11:15:01 2022
Short Description: Coarse_Grain for depth 9.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 90.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:90.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:12Feb_UVD_Pit1_3_10redo.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.935,0.065,0.000
400.000,0.935,0.065,0.000
420.000,0.933,0.067,0.000
440.000,0.938,0.062,0.000
460.000,0.937,0.063,0.000
480.000,0.936,0.064,0.001
500.000,0.936,0.063,0.001
520.000,0.935,0.063,0.002
540.000,0.935,0.062,0.004
560.000,0.933,0.061,0.006
580.000,0.932,0.061,0.008
600.000,0.929,0.061,0.010
620.000,0.928,0.057,0.015
640.000,0.924,0.056,0.020
660.000,0.920,0.054,0.025
680.000,0.916,0.053,0.031
700.000,0.909,0.050,0.040
720.000,0.902,0.045,0.054
740.000,0.899,0.041,0.060
760.000,0.882,0.038,0.080
780.000,0.864,0.032,0.104
800.000,0.852,0.026,0.122
820.000,0.850,0.025,0.125
840.000,0.844,0.026,0.131
860.000,0.827,0.018,0.156
880.000,0.787,0.011,0.202
900.000,0.771,0.008,0.221
920.000,0.762,0.007,0.232
940.000,0.746,0.006,0.249
960.000,0.715,0.003,0.283
980.000,0.672,0.001,0.328
1000.000,0.625,0.000,0.376
1020.000,0.587,0.000,0.414
1040.000,0.582,0.000,0.419
1060.000,0.607,0.000,0.394
1080.000,0.625,0.000,0.376
1100.000,0.634,0.000,0.367
1120.000,0.627,0.000,0.374
1140.000,0.598,0.000,0.403
1160.000,0.553,0.000,0.448
1180.000,0.491,0.000,0.510
1200.000,0.439,0.000,0.563
1220.000,0.378,0.000,0.625
1240.000,0.351,0.000,0.652
1260.000,0.344,0.000,0.659
1280.000,0.343,0.000,0.660
1300.000,0.347,0.000,0.656
1320.000,0.348,0.000,0.655
1340.000,0.348,0.000,0.655
1360.000,0.343,0.000,0.660
1380.000,0.328,0.000,0.675
1400.000,0.302,0.000,0.701
1420.000,0.165,0.000,0.839
1440.000,0.089,0.000,0.914
1460.000,0.057,0.000,0.946
1480.000,0.038,0.000,0.964
1500.000,0.037,0.000,0.965
1520.000,0.039,0.000,0.963
1540.000,0.042,0.000,0.960
1560.000,0.048,0.000,0.954
1580.000,0.054,0.000,0.949
1600.000,0.059,0.000,0.944
