Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 08:42:08 2022
Short Description: KEXT_MAX/Fice_mean for depth 0.5 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 5.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:5.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.640,0.360,0.000
400.000,0.638,0.362,0.000
420.000,0.638,0.362,0.000
440.000,0.640,0.360,0.000
460.000,0.641,0.359,0.000
480.000,0.641,0.359,0.000
500.000,0.643,0.357,0.000
520.000,0.637,0.363,0.000
540.000,0.644,0.356,0.000
560.000,0.640,0.360,0.000
580.000,0.641,0.358,0.000
600.000,0.633,0.367,0.001
620.000,0.644,0.355,0.001
640.000,0.636,0.362,0.001
660.000,0.635,0.363,0.002
680.000,0.637,0.361,0.002
700.000,0.642,0.356,0.003
720.000,0.638,0.358,0.003
740.000,0.636,0.360,0.004
760.000,0.633,0.361,0.006
780.000,0.637,0.356,0.008
800.000,0.635,0.355,0.010
820.000,0.633,0.357,0.010
840.000,0.632,0.358,0.011
860.000,0.631,0.355,0.015
880.000,0.626,0.352,0.022
900.000,0.621,0.352,0.027
920.000,0.626,0.345,0.030
940.000,0.624,0.343,0.034
960.000,0.613,0.342,0.045
980.000,0.612,0.325,0.064
1000.000,0.592,0.320,0.089
1020.000,0.581,0.302,0.116
1040.000,0.581,0.300,0.119
1060.000,0.588,0.314,0.099
1080.000,0.598,0.314,0.088
1100.000,0.590,0.325,0.084
1120.000,0.592,0.319,0.089
1140.000,0.580,0.314,0.106
1160.000,0.567,0.298,0.135
1180.000,0.539,0.266,0.196
1200.000,0.508,0.240,0.252
1220.000,0.462,0.202,0.336
1240.000,0.444,0.182,0.374
1260.000,0.441,0.172,0.387
1280.000,0.440,0.176,0.384
1300.000,0.443,0.178,0.379
1320.000,0.441,0.181,0.378
1340.000,0.440,0.183,0.377
1360.000,0.439,0.174,0.387
1380.000,0.427,0.165,0.408
1400.000,0.396,0.142,0.462
1420.000,0.248,0.039,0.715
1440.000,0.142,0.005,0.857
1460.000,0.094,0.001,0.908
1480.000,0.066,0.001,0.936
1500.000,0.064,0.001,0.938
1520.000,0.066,0.001,0.936
1540.000,0.071,0.001,0.931
1560.000,0.079,0.001,0.924
1580.000,0.091,0.001,0.911
1600.000,0.101,0.001,0.901
