Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 08:52:02 2022
Short Description: KEXT_MAX/Fice_mean for depth 1.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 10.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:10.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.768,0.232,0.000
400.000,0.766,0.234,0.000
420.000,0.770,0.230,0.000
440.000,0.767,0.233,0.000
460.000,0.770,0.230,0.000
480.000,0.767,0.233,0.000
500.000,0.773,0.227,0.000
520.000,0.765,0.235,0.000
540.000,0.772,0.228,0.000
560.000,0.766,0.233,0.001
580.000,0.770,0.229,0.001
600.000,0.776,0.223,0.001
620.000,0.769,0.229,0.002
640.000,0.769,0.228,0.002
660.000,0.769,0.228,0.003
680.000,0.769,0.227,0.004
700.000,0.769,0.226,0.005
720.000,0.765,0.228,0.007
740.000,0.767,0.225,0.008
760.000,0.766,0.223,0.011
780.000,0.758,0.226,0.016
800.000,0.761,0.219,0.020
820.000,0.760,0.219,0.021
840.000,0.758,0.221,0.022
860.000,0.749,0.221,0.030
880.000,0.746,0.209,0.045
900.000,0.740,0.205,0.055
920.000,0.738,0.203,0.059
940.000,0.735,0.198,0.067
960.000,0.719,0.195,0.087
980.000,0.705,0.174,0.121
1000.000,0.677,0.161,0.162
1020.000,0.651,0.141,0.208
1040.000,0.649,0.142,0.210
1060.000,0.669,0.150,0.180
1080.000,0.674,0.162,0.163
1100.000,0.680,0.164,0.155
1120.000,0.675,0.163,0.162
1140.000,0.658,0.152,0.190
1160.000,0.632,0.132,0.236
1180.000,0.576,0.105,0.319
1200.000,0.540,0.080,0.380
1220.000,0.481,0.052,0.467
1240.000,0.450,0.044,0.507
1260.000,0.442,0.039,0.519
1280.000,0.444,0.040,0.516
1300.000,0.449,0.041,0.510
1320.000,0.453,0.040,0.507
1340.000,0.450,0.041,0.510
1360.000,0.441,0.039,0.521
1380.000,0.427,0.034,0.539
1400.000,0.397,0.025,0.579
1420.000,0.243,0.001,0.759
1440.000,0.143,0.000,0.861
1460.000,0.091,0.000,0.912
1480.000,0.063,0.000,0.940
1500.000,0.060,0.000,0.943
1520.000,0.062,0.000,0.941
1540.000,0.068,0.000,0.935
1560.000,0.078,0.000,0.925
1580.000,0.091,0.000,0.913
1600.000,0.101,0.000,0.903
