Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 10:55:43 2022
Short Description: KEXT_MAX/Fice_mean for depth 11.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 110.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:110.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.973,0.027,0.000
400.000,0.973,0.027,0.000
420.000,0.972,0.027,0.000
440.000,0.973,0.027,0.000
460.000,0.972,0.028,0.000
480.000,0.972,0.027,0.001
500.000,0.972,0.027,0.002
520.000,0.971,0.026,0.003
540.000,0.970,0.025,0.005
560.000,0.971,0.023,0.007
580.000,0.966,0.025,0.010
600.000,0.965,0.023,0.012
620.000,0.961,0.021,0.018
640.000,0.958,0.019,0.023
660.000,0.954,0.017,0.029
680.000,0.950,0.017,0.034
700.000,0.943,0.014,0.043
720.000,0.936,0.011,0.053
740.000,0.930,0.009,0.061
760.000,0.916,0.007,0.076
780.000,0.905,0.005,0.090
800.000,0.893,0.003,0.104
820.000,0.889,0.003,0.108
840.000,0.891,0.003,0.107
860.000,0.874,0.002,0.125
880.000,0.844,0.001,0.156
900.000,0.830,0.000,0.170
920.000,0.816,0.000,0.184
940.000,0.810,0.000,0.191
960.000,0.783,0.000,0.217
980.000,0.746,0.000,0.255
1000.000,0.710,0.000,0.290
1020.000,0.672,0.000,0.329
1040.000,0.670,0.000,0.331
1060.000,0.695,0.000,0.306
1080.000,0.708,0.000,0.293
1100.000,0.712,0.000,0.289
1120.000,0.708,0.000,0.293
1140.000,0.688,0.000,0.313
1160.000,0.651,0.000,0.350
1180.000,0.589,0.000,0.413
1200.000,0.539,0.000,0.463
1220.000,0.484,0.000,0.518
1240.000,0.454,0.000,0.548
1260.000,0.445,0.000,0.557
1280.000,0.447,0.000,0.555
1300.000,0.450,0.000,0.552
1320.000,0.450,0.000,0.552
1340.000,0.455,0.000,0.547
1360.000,0.447,0.000,0.555
1380.000,0.432,0.000,0.570
1400.000,0.400,0.000,0.602
1420.000,0.242,0.000,0.762
1440.000,0.142,0.000,0.862
1460.000,0.092,0.000,0.912
1480.000,0.065,0.000,0.938
1500.000,0.061,0.000,0.941
1520.000,0.064,0.000,0.939
1540.000,0.071,0.000,0.932
1560.000,0.079,0.000,0.924
1580.000,0.089,0.000,0.914
1600.000,0.097,0.000,0.906
