Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:25:09 2022
Short Description: KEXT_MAX/Fice_mean for depth 3.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 30.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:30.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.908,0.092,0.000
400.000,0.907,0.093,0.000
420.000,0.907,0.093,0.000
440.000,0.908,0.092,0.000
460.000,0.907,0.093,0.000
480.000,0.907,0.093,0.000
500.000,0.907,0.092,0.000
520.000,0.908,0.091,0.001
540.000,0.906,0.093,0.001
560.000,0.904,0.094,0.002
580.000,0.905,0.092,0.003
600.000,0.905,0.092,0.004
620.000,0.904,0.091,0.005
640.000,0.902,0.090,0.007
660.000,0.903,0.088,0.009
680.000,0.897,0.092,0.012
700.000,0.898,0.087,0.015
720.000,0.896,0.084,0.020
740.000,0.892,0.084,0.024
760.000,0.891,0.076,0.033
780.000,0.879,0.076,0.045
800.000,0.873,0.071,0.056
820.000,0.870,0.071,0.059
840.000,0.868,0.071,0.060
860.000,0.850,0.068,0.082
880.000,0.836,0.054,0.110
900.000,0.825,0.047,0.128
920.000,0.812,0.048,0.140
940.000,0.806,0.042,0.153
960.000,0.781,0.035,0.184
980.000,0.749,0.022,0.229
1000.000,0.705,0.016,0.280
1020.000,0.671,0.009,0.321
1040.000,0.670,0.009,0.321
1060.000,0.695,0.012,0.294
1080.000,0.705,0.016,0.280
1100.000,0.712,0.016,0.272
1120.000,0.709,0.015,0.277
1140.000,0.686,0.011,0.303
1160.000,0.644,0.006,0.350
1180.000,0.591,0.003,0.408
1200.000,0.535,0.001,0.466
1220.000,0.479,0.000,0.523
1240.000,0.454,0.000,0.548
1260.000,0.444,0.000,0.558
1280.000,0.446,0.000,0.556
1300.000,0.442,0.000,0.560
1320.000,0.446,0.000,0.556
1340.000,0.452,0.000,0.549
1360.000,0.446,0.000,0.556
1380.000,0.429,0.000,0.573
1400.000,0.393,0.000,0.610
1420.000,0.239,0.000,0.764
1440.000,0.141,0.000,0.863
1460.000,0.091,0.000,0.912
1480.000,0.064,0.000,0.939
1500.000,0.060,0.000,0.943
1520.000,0.065,0.000,0.938
1540.000,0.069,0.000,0.934
1560.000,0.078,0.000,0.926
1580.000,0.089,0.000,0.915
1600.000,0.098,0.000,0.906
