Simulated Spectral Output From CRREL Snow RTM
File Created: Tue Jul 19 10:31:47 2022
Short Description: Fine_Grain for depth 3.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 30.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:30.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Pit1_6_1.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.900,0.100,0.000
400.000,0.903,0.097,0.000
420.000,0.903,0.097,0.000
440.000,0.903,0.097,0.000
460.000,0.902,0.098,0.000
480.000,0.904,0.095,0.000
500.000,0.902,0.098,0.001
520.000,0.900,0.099,0.001
540.000,0.901,0.098,0.001
560.000,0.904,0.094,0.002
580.000,0.903,0.094,0.003
600.000,0.899,0.097,0.004
620.000,0.903,0.091,0.005
640.000,0.896,0.096,0.008
660.000,0.897,0.093,0.010
680.000,0.894,0.094,0.012
700.000,0.890,0.094,0.017
720.000,0.891,0.088,0.022
740.000,0.884,0.090,0.026
760.000,0.880,0.085,0.035
780.000,0.874,0.079,0.047
800.000,0.867,0.075,0.058
820.000,0.865,0.074,0.062
840.000,0.864,0.074,0.062
860.000,0.850,0.067,0.082
880.000,0.826,0.058,0.116
900.000,0.814,0.050,0.136
920.000,0.807,0.048,0.145
940.000,0.794,0.045,0.161
960.000,0.773,0.035,0.192
980.000,0.736,0.024,0.240
1000.000,0.694,0.016,0.290
1020.000,0.656,0.010,0.335
1040.000,0.653,0.010,0.338
1060.000,0.677,0.013,0.310
1080.000,0.693,0.016,0.291
1100.000,0.698,0.017,0.285
1120.000,0.695,0.016,0.289
1140.000,0.669,0.012,0.319
1160.000,0.627,0.007,0.366
1180.000,0.573,0.002,0.425
1200.000,0.528,0.001,0.473
1220.000,0.463,0.000,0.539
1240.000,0.441,0.000,0.561
1260.000,0.428,0.000,0.575
1280.000,0.432,0.000,0.570
1300.000,0.431,0.000,0.571
1320.000,0.432,0.000,0.570
1340.000,0.435,0.000,0.567
1360.000,0.427,0.000,0.575
1380.000,0.418,0.000,0.584
1400.000,0.385,0.000,0.618
1420.000,0.229,0.000,0.774
1440.000,0.134,0.000,0.870
1460.000,0.088,0.000,0.915
1480.000,0.058,0.000,0.944
1500.000,0.057,0.000,0.946
1520.000,0.061,0.000,0.942
1540.000,0.064,0.000,0.939
1560.000,0.074,0.000,0.929
1580.000,0.083,0.000,0.921
1600.000,0.093,0.000,0.910
