Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 11:04:14 2022
Short Description: KEXT_MAX/Fice_max for depth 20.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 200.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:200.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_max.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.984,0.015,0.000
400.000,0.983,0.017,0.000
420.000,0.984,0.016,0.000
440.000,0.984,0.015,0.001
460.000,0.983,0.015,0.001
480.000,0.983,0.015,0.002
500.000,0.982,0.013,0.005
520.000,0.980,0.012,0.008
540.000,0.977,0.012,0.012
560.000,0.972,0.011,0.017
580.000,0.969,0.009,0.022
600.000,0.965,0.007,0.028
620.000,0.959,0.005,0.035
640.000,0.951,0.005,0.044
660.000,0.948,0.003,0.050
680.000,0.937,0.002,0.060
700.000,0.928,0.001,0.071
720.000,0.918,0.001,0.081
740.000,0.912,0.000,0.088
760.000,0.897,0.000,0.103
780.000,0.881,0.000,0.119
800.000,0.862,0.000,0.138
820.000,0.863,0.000,0.137
840.000,0.863,0.000,0.137
860.000,0.838,0.000,0.162
880.000,0.810,0.000,0.191
900.000,0.787,0.000,0.214
920.000,0.780,0.000,0.221
940.000,0.765,0.000,0.236
960.000,0.732,0.000,0.269
980.000,0.692,0.000,0.309
1000.000,0.646,0.000,0.356
1020.000,0.604,0.000,0.397
1040.000,0.603,0.000,0.398
1060.000,0.635,0.000,0.366
1080.000,0.654,0.000,0.347
1100.000,0.659,0.000,0.342
1120.000,0.650,0.000,0.351
1140.000,0.619,0.000,0.383
1160.000,0.582,0.000,0.420
1180.000,0.516,0.000,0.485
1200.000,0.466,0.000,0.536
1220.000,0.407,0.000,0.595
1240.000,0.380,0.000,0.623
1260.000,0.367,0.000,0.636
1280.000,0.371,0.000,0.632
1300.000,0.374,0.000,0.629
1320.000,0.378,0.000,0.625
1340.000,0.374,0.000,0.628
1360.000,0.370,0.000,0.633
1380.000,0.356,0.000,0.647
1400.000,0.321,0.000,0.682
1420.000,0.184,0.000,0.820
1440.000,0.101,0.000,0.902
1460.000,0.066,0.000,0.937
1480.000,0.045,0.000,0.957
1500.000,0.042,0.000,0.960
1520.000,0.044,0.000,0.958
1540.000,0.049,0.000,0.953
1560.000,0.056,0.000,0.947
1580.000,0.064,0.000,0.939
1600.000,0.072,0.000,0.931
