Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:36:23 2022
Short Description: KEXT_MIN/Fice_max for depth 25.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 250.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:250.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_max_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.960,0.039,0.000
400.000,0.962,0.038,0.000
420.000,0.963,0.037,0.000
440.000,0.960,0.039,0.001
460.000,0.959,0.040,0.002
480.000,0.961,0.036,0.003
500.000,0.958,0.036,0.006
520.000,0.956,0.034,0.010
540.000,0.952,0.032,0.016
560.000,0.947,0.030,0.023
580.000,0.938,0.030,0.032
600.000,0.935,0.026,0.039
620.000,0.925,0.021,0.054
640.000,0.917,0.017,0.066
660.000,0.902,0.015,0.083
680.000,0.895,0.012,0.093
700.000,0.879,0.008,0.113
720.000,0.858,0.006,0.136
740.000,0.852,0.004,0.144
760.000,0.825,0.002,0.173
780.000,0.794,0.001,0.205
800.000,0.777,0.001,0.223
820.000,0.768,0.001,0.232
840.000,0.768,0.000,0.232
860.000,0.734,0.000,0.267
880.000,0.687,0.000,0.314
900.000,0.665,0.000,0.336
920.000,0.647,0.000,0.354
940.000,0.630,0.000,0.372
960.000,0.591,0.000,0.410
980.000,0.540,0.000,0.462
1000.000,0.481,0.000,0.521
1020.000,0.431,0.000,0.571
1040.000,0.433,0.000,0.570
1060.000,0.458,0.000,0.544
1080.000,0.482,0.000,0.520
1100.000,0.488,0.000,0.514
1120.000,0.481,0.000,0.521
1140.000,0.451,0.000,0.551
1160.000,0.407,0.000,0.595
1180.000,0.339,0.000,0.664
1200.000,0.294,0.000,0.709
1220.000,0.239,0.000,0.764
1240.000,0.222,0.000,0.782
1260.000,0.210,0.000,0.793
1280.000,0.212,0.000,0.792
1300.000,0.214,0.000,0.789
1320.000,0.217,0.000,0.787
1340.000,0.216,0.000,0.788
1360.000,0.210,0.000,0.793
1380.000,0.201,0.000,0.803
1400.000,0.178,0.000,0.826
1420.000,0.086,0.000,0.917
1440.000,0.045,0.000,0.958
1460.000,0.026,0.000,0.975
1480.000,0.018,0.000,0.983
1500.000,0.015,0.000,0.985
1520.000,0.017,0.000,0.984
1540.000,0.019,0.000,0.982
1560.000,0.023,0.000,0.978
1580.000,0.026,0.000,0.976
1600.000,0.030,0.000,0.971
