Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:00:45 2022
Short Description: KEXT_MIN/Fice_max for depth 7.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 70.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:70.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_max_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.876,0.124,0.000
400.000,0.879,0.121,0.000
420.000,0.877,0.123,0.000
440.000,0.877,0.123,0.000
460.000,0.875,0.125,0.000
480.000,0.878,0.121,0.001
500.000,0.875,0.124,0.002
520.000,0.879,0.118,0.003
540.000,0.877,0.118,0.005
560.000,0.876,0.117,0.007
580.000,0.870,0.120,0.010
600.000,0.867,0.120,0.013
620.000,0.861,0.120,0.019
640.000,0.861,0.113,0.026
660.000,0.854,0.112,0.034
680.000,0.851,0.108,0.040
700.000,0.843,0.104,0.053
720.000,0.833,0.097,0.070
740.000,0.825,0.094,0.081
760.000,0.813,0.082,0.106
780.000,0.790,0.072,0.138
800.000,0.767,0.064,0.168
820.000,0.764,0.063,0.173
840.000,0.766,0.060,0.174
860.000,0.732,0.049,0.219
880.000,0.682,0.033,0.284
900.000,0.659,0.025,0.316
920.000,0.649,0.023,0.328
940.000,0.628,0.019,0.353
960.000,0.584,0.012,0.404
980.000,0.533,0.006,0.462
1000.000,0.486,0.002,0.513
1020.000,0.432,0.001,0.570
1040.000,0.432,0.001,0.569
1060.000,0.460,0.001,0.540
1080.000,0.483,0.002,0.517
1100.000,0.488,0.003,0.511
1120.000,0.479,0.002,0.521
1140.000,0.450,0.001,0.551
1160.000,0.409,0.000,0.592
1180.000,0.340,0.000,0.663
1200.000,0.294,0.000,0.709
1220.000,0.239,0.000,0.764
1240.000,0.217,0.000,0.787
1260.000,0.215,0.000,0.789
1280.000,0.215,0.000,0.788
1300.000,0.216,0.000,0.788
1320.000,0.217,0.000,0.786
1340.000,0.218,0.000,0.786
1360.000,0.212,0.000,0.791
1380.000,0.198,0.000,0.805
1400.000,0.179,0.000,0.825
1420.000,0.091,0.000,0.912
1440.000,0.045,0.000,0.957
1460.000,0.026,0.000,0.975
1480.000,0.017,0.000,0.984
1500.000,0.017,0.000,0.984
1520.000,0.017,0.000,0.984
1540.000,0.020,0.000,0.980
1560.000,0.021,0.000,0.980
1580.000,0.026,0.000,0.976
1600.000,0.030,0.000,0.972
