Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:27:05 2022
Short Description: KEXT_MIN/Fice_max for depth 20.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 200.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:200.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_max_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.952,0.048,0.000
400.000,0.950,0.050,0.000
420.000,0.952,0.048,0.000
440.000,0.949,0.050,0.001
460.000,0.953,0.046,0.001
480.000,0.950,0.047,0.002
500.000,0.950,0.045,0.005
520.000,0.944,0.047,0.009
540.000,0.946,0.041,0.013
560.000,0.939,0.042,0.019
580.000,0.932,0.042,0.027
600.000,0.928,0.038,0.034
620.000,0.920,0.034,0.046
640.000,0.911,0.029,0.060
660.000,0.899,0.026,0.074
680.000,0.890,0.022,0.088
700.000,0.879,0.017,0.103
720.000,0.859,0.013,0.127
740.000,0.848,0.011,0.142
760.000,0.824,0.007,0.170
780.000,0.798,0.004,0.199
800.000,0.774,0.002,0.224
820.000,0.770,0.002,0.229
840.000,0.768,0.002,0.231
860.000,0.732,0.001,0.267
880.000,0.682,0.000,0.319
900.000,0.658,0.000,0.343
920.000,0.648,0.000,0.353
940.000,0.624,0.000,0.377
960.000,0.584,0.000,0.417
980.000,0.528,0.000,0.474
1000.000,0.476,0.000,0.527
1020.000,0.428,0.000,0.574
1040.000,0.426,0.000,0.577
1060.000,0.455,0.000,0.547
1080.000,0.482,0.000,0.520
1100.000,0.484,0.000,0.518
1120.000,0.481,0.000,0.521
1140.000,0.448,0.000,0.554
1160.000,0.404,0.000,0.599
1180.000,0.337,0.000,0.666
1200.000,0.294,0.000,0.709
1220.000,0.241,0.000,0.762
1240.000,0.214,0.000,0.790
1260.000,0.208,0.000,0.795
1280.000,0.208,0.000,0.795
1300.000,0.214,0.000,0.790
1320.000,0.215,0.000,0.788
1340.000,0.213,0.000,0.790
1360.000,0.205,0.000,0.799
1380.000,0.197,0.000,0.807
1400.000,0.172,0.000,0.832
1420.000,0.084,0.000,0.919
1440.000,0.043,0.000,0.959
1460.000,0.026,0.000,0.975
1480.000,0.017,0.000,0.984
1500.000,0.017,0.000,0.984
1520.000,0.016,0.000,0.985
1540.000,0.019,0.000,0.982
1560.000,0.021,0.000,0.980
1580.000,0.025,0.000,0.976
1600.000,0.029,0.000,0.972
