Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:05:59 2022
Short Description: KEXT_MIN/Fice_max for depth 9.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 90.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:90.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_max_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.896,0.104,0.000
400.000,0.898,0.102,0.000
420.000,0.897,0.103,0.000
440.000,0.901,0.099,0.000
460.000,0.902,0.098,0.001
480.000,0.897,0.102,0.001
500.000,0.897,0.100,0.002
520.000,0.899,0.097,0.004
540.000,0.897,0.097,0.006
560.000,0.895,0.096,0.009
580.000,0.889,0.099,0.013
600.000,0.889,0.095,0.017
620.000,0.880,0.096,0.024
640.000,0.878,0.090,0.032
660.000,0.876,0.083,0.042
680.000,0.869,0.081,0.050
700.000,0.857,0.079,0.064
720.000,0.847,0.070,0.084
740.000,0.837,0.066,0.097
760.000,0.817,0.057,0.125
780.000,0.792,0.047,0.160
800.000,0.773,0.038,0.189
820.000,0.763,0.038,0.199
840.000,0.764,0.038,0.198
860.000,0.733,0.027,0.239
880.000,0.680,0.016,0.304
900.000,0.660,0.011,0.329
920.000,0.645,0.010,0.346
940.000,0.625,0.007,0.368
960.000,0.584,0.004,0.413
980.000,0.530,0.001,0.470
1000.000,0.478,0.000,0.524
1020.000,0.428,0.000,0.574
1040.000,0.427,0.000,0.575
1060.000,0.456,0.000,0.546
1080.000,0.480,0.000,0.522
1100.000,0.484,0.001,0.517
1120.000,0.475,0.000,0.526
1140.000,0.449,0.000,0.552
1160.000,0.407,0.000,0.595
1180.000,0.335,0.000,0.668
1200.000,0.293,0.000,0.711
1220.000,0.239,0.000,0.765
1240.000,0.216,0.000,0.788
1260.000,0.209,0.000,0.795
1280.000,0.212,0.000,0.792
1300.000,0.209,0.000,0.795
1320.000,0.217,0.000,0.787
1340.000,0.211,0.000,0.793
1360.000,0.209,0.000,0.795
1380.000,0.196,0.000,0.808
1400.000,0.175,0.000,0.829
1420.000,0.085,0.000,0.918
1440.000,0.044,0.000,0.959
1460.000,0.026,0.000,0.976
1480.000,0.017,0.000,0.984
1500.000,0.016,0.000,0.985
1520.000,0.017,0.000,0.984
1540.000,0.019,0.000,0.982
1560.000,0.022,0.000,0.979
1580.000,0.026,0.000,0.976
1600.000,0.030,0.000,0.972
